有價證券代號及名稱,類別,國際證券辨識號碼(ISIN Code),上市日,市場別,產業別,CFICode,備註
4415, 台原藥,管理股票 ,TW0004415005,2017/11/21,上櫃,食品工業,ESVUFR,
006201, 元大富櫃50,ETF ,TW0000062017,2011/1/27,上櫃,,CEOGEU,
00679B, 元大美債20年,ETF ,TW00000679B0,2017/1/17,上櫃,,CEOIBU,
00687B, 國泰20年美債,ETF ,TW00000687B3,2017/4/13,上櫃,,CEOJBU,
00694B, 富邦美債1-3年,ETF ,TW00000694B9,2017/6/8,上櫃,,CEOGBU,
00695B, 富邦美債7-10年,ETF ,TW00000695B6,2017/6/8,上櫃,,CEOGBU,
00696B, 富邦美債20年,ETF ,TW00000696B4,2017/6/8,上櫃,,CEOGBU,
00697B, 元大美債7-10,ETF ,TW00000697B2,2017/6/23,上櫃,,CEOGBU,
00718B, 富邦中國政策債,ETF ,TW00000718B6,2018/2/8,上櫃,,CEOGBU,
00719B, 元大美債1-3,ETF ,TW00000719B4,2018/2/1,上櫃,,CEOJBU,
00720B, 元大投資級公司債,ETF ,TW00000720B2,2018/2/1,上櫃,,CEOJBU,
00721B, 元大中國債3-5,ETF ,TW00000721B0,2018/2/1,上櫃,,CEOJBU,
00722B, 群益15年IG電信債,ETF ,TW00000722B8,2017/12/15,上櫃,,CEOIBU,
00723B, 群益15年IG科技債,ETF ,TW00000723B6,2017/12/15,上櫃,,CEOIBU,
00724B, 群益10年IG金融債,ETF ,TW00000724B4,2017/12/15,上櫃,,CEOIBU,
00725B, 國泰投資級公司債,ETF ,TW00000725B1,2018/2/7,上櫃,,CEOJBU,
00726B, 國泰5Y+新興債,ETF ,TW00000726B9,2018/2/7,上櫃,,CEOJBU,
00727B, 國泰1-5Y高收債,ETF ,TW00000727B7,2018/2/7,上櫃,,CEOIBU,
1258, 其祥-KY,股票 ,KYG522401010,2011/12/12,上櫃,食品工業,ESVUFR,
1259, 安心,股票 ,TW0001259000,2011/12/15,上櫃,觀光事業,ESVUFR,
1264, 德麥,股票 ,TW0001264000,2015/4/9,上櫃,食品工業,ESVUFR,
1268, 漢來美食,股票 ,TW0001268001,2017/9/27,上櫃,觀光事業,ESVUFR,
1333, 恩得利,股票 ,TW0001333003,2005/8/8,上櫃,電子零組件業,ESVUFR,
1336, 台翰,股票 ,TW0001336006,2007/11/2,上櫃,電子零組件業,ESVUFR,
1565, 精華,股票 ,TW0001565000,2004/3/30,上櫃,生技醫療業,ESVUFR,
1566, 捷邦,股票 ,TW0001566008,2011/1/12,上櫃,電機機械,ESVUFR,
1569, 濱川,股票 ,TW0001569002,2005/7/29,上櫃,電腦及週邊設備業,ESVUFR,
1570, 力肯,股票 ,TW0001570000,2005/6/30,上櫃,電機機械,ESVUFR,
1580, 新麥,股票 ,TW0001580009,2007/12/10,上櫃,電機機械,ESVUFR,
1584, 精剛,股票 ,TW0001584001,2007/11/28,上櫃,其他業,ESVUFR,
1586, 和勤,股票 ,TW0001586006,2012/1/9,上櫃,電機機械,ESVUFR,
1591, 駿吉-KY,股票 ,KYG4782L1023,2012/3/23,上櫃,電機機械,ESVUFR,
1593, 祺驊,股票 ,TW0001593002,2012/6/13,上櫃,生技醫療業,ESVUFR,
1595, 川寶,股票 ,TW0001595007,2011/10/4,上櫃,電子零組件業,ESVUFR,
