rank,symbol,start_date,end_date,n_data,cum_roi,annual_roi,roi_mu,std,skew,ex_kurt,Sharpe,Sortino,JB,worst_ADF,SPA_c
1,AA,2005-01-03,2018-12-31,3523,-0.5636135601389187,-0.057510506325235244,0.00014727322983098097,0.02765744638188145,0.16317803618160648,7.869434667914344,0.005325659279128538,0.007566647373689204,0.0,7.900601244088076e-22,0.398
2,AIG,2005-01-03,2018-12-31,3523,-0.9602923892336801,-0.20581888804749449,-3.0016517504022455e-05,0.04168760059535456,1.5672991347045488,66.72904917878327,-0.0007201368767100555,-0.001071540626994151,0.0,1.0961868996859164e-17,0.5302
3,AXP,2005-01-03,2018-12-31,3523,1.3715713488647876,0.06362441950563591,0.0004885051499254973,0.022115044664955227,0.5490182407315918,14.590192045092333,0.022092403743145486,0.03240074856118341,0.0,3.6965086472656015e-15,0.0804
4,BA,2005-01-03,2018-12-31,3523,7.525187069666442,0.1654102977204277,0.00075932257558911,0.017389438341610133,0.2124485828793441,5.430878099275644,0.043671931783637104,0.06390233667897159,0.0,1.4092187660379174e-20,0.004
5,BAC,2005-01-03,2018-12-31,3523,-0.28343978870001496,-0.02352550017068189,0.0004138149635149981,0.03199809236841925,0.9419854551621555,25.693977965389585,0.012934324388336861,0.01937084393186538,0.0,1.1477735220954543e-16,0.2018
6,C,2005-01-03,2018-12-31,3523,-0.8843157593240615,-0.1427825280780728,-5.570864040288609e-05,0.03355398928464193,1.6448027389653772,49.16246872867742,-0.0016605044495463324,-0.0024604129719831935,0.0,8.771424109710424e-18,0.573
7,CAT,2005-01-03,2018-12-31,3523,2.9740828261376957,0.10357699009048771,0.0005894818428209354,0.01988315856019955,0.024080873189791078,5.66775579764076,0.02965150233873543,0.04261997043561031,0.0,3.3146558733358546e-21,0.0446
8,DIS,2005-01-03,2018-12-31,3523,3.793445015427091,0.1184528910139453,0.0005730140472842998,0.01603316345713641,0.41052387573426197,9.755944710905814,0.03574437389498605,0.05271483615776506,0.0,0.0,0.0064
9,DWDP,2005-01-03,2018-12-31,3523,0.7357361916578744,0.04017396622724423,0.00038571784599019434,0.021388996269456312,-0.005433428673463702,8.290097176092125,0.01803603103193826,0.025906825490405388,0.0,1.6650584073734246e-18,0.169
10,GE,2005-01-03,2018-12-31,3523,-0.6540965019906306,-0.0730245957968626,-0.00012745987918378704,0.01866496403100431,0.34986546512655287,11.997306609017622,-0.0068298000737174016,-0.009660898135728407,0.0,1.5487925915755216e-19,0.6704
11,HD,2005-01-03,2018-12-31,3523,4.5913260514846,0.13082113176603172,0.0006169213259189447,0.01605892327195532,0.5307303029951396,6.247202163257095,0.03842156104505439,0.05770202589555214,0.0,0.0,0.0038
12,HON,2005-01-03,2018-12-31,3523,4.52890277784795,0.129914649885996,0.0006085950045987082,0.015692228283296108,0.026041371953416874,5.380090953244551,0.03878871671643815,0.056286009471015024,0.0,5.1472353324248616e-20,0.004
13,IBM,2005-01-03,2018-12-31,3523,0.6312402340106353,0.035570932648932185,0.00023013006666097987,0.013497104951266417,-0.13230712700392402,6.5196420855202835,0.017052748388676264,0.023929593601650576,0.0,3.482264039828026e-29,0.1454
14,INTC,2005-01-03,2018-12-31,3523,2.0281263849058613,0.08235460998217858,0.00047448172809693193,0.017880558672646554,-0.0030510374095055904,5.38157020666268,0.026539947196526963,0.03809633137654529,0.0,9.323706529222087e-25,0.0294
15,JNJ,2005-01-03,2018-12-31,3523,2.0698701885409228,0.08341360894054706,0.00036989802315920466,0.010152697979288193,0.21680655037539293,13.991138054149747,0.0364386424852951,0.05291356355534187,0.0,2.2547532139066604e-17,0.004
16,JPM,2005-01-03,2018-12-31,3523,2.607228238307918,0.09596861077858354,0.0006560171688395808,0.024302404557234356,1.0606879142010648,19.814646557926572,0.02699775209593096,0.04121525541660426,0.0,1.571081415481247e-18,0.0118
17,KO,2005-01-03,2018-12-31,3523,3.306346500022432,0.10992465340126922,0.0004731971790919367,0.010856071591217573,0.6411888967995609,14.698505396633415,0.04359443908296634,0.06460018323294414,0.0,3.470083231607354e-29,0.0004
18,MCD,2005-01-03,2018-12-31,3523,7.461820779683071,0.16478941652568269,0.0006783114220634567,0.012013934642654272,0.3269947832346299,5.427703652010269,0.056468403711878355,0.08474819005125464,0.0,0.0,0
19,MMM,2005-01-03,2018-12-31,3523,2.299043479446382,0.08899959212537012,0.00042888114380243094,0.013401478059078088,-0.2538299172584454,6.571112853373119,0.03200706844521019,0.044767770651284726,0.0,0.0,0.0158
20,MO,2005-01-03,2018-12-31,3523,6.095183635825583,0.1502258328405437,0.0006306074511124182,0.012185879754704159,0.010489311765377077,16.403890655766077,0.05175637553548893,0.07399475715348482,0.0,0.0,0.0002
21,MRK,2005-01-03,2018-12-31,3523,3.1878741292047525,0.10771520153643843,0.0005298698106247653,0.015696431419552893,0.036941346136882346,11.907099116788551,0.03376213446093977,0.04891696554039508,0.0,1.7376512592481376e-17,0.0066
22,MSFT,2005-01-03,2018-12-31,3523,4.159150591921046,0.12434202351710932,0.0006025413702969797,0.016562909598161063,0.39190199333696296,11.362503348402814,0.03638412081616903,0.05378559487738088,0.0,2.3408217055133475e-21,0.0028
23,PFE,2005-01-03,2018-12-31,3523,1.8905594069260392,0.07876607056560192,0.00039586184224911047,0.013752052542492494,0.06746579963062715,7.314629963987558,0.028789741420897987,0.0420666583920168,0.0,1.1142711156024483e-22,0.0168
24,PG,2005-01-03,2018-12-31,3523,1.4922966798556527,0.06740332860842457,0.0003166206629379654,0.01071474101091585,0.06942001236578364,8.251324718617715,0.029554200928609543,0.042519549187665324,0.0,0.0,0.014
25,T,2005-01-03,2018-12-31,3523,1.3274826278250482,0.062199701080075886,0.0003273679547335312,0.013259724011843175,0.5486692388226689,13.547593680233014,0.024692401279733756,0.035759878006301885,0.0,7.2216284288358855e-25,0.0332
26,TRV,2005-01-03,2018-12-31,3523,3.5299432790324206,0.11394505228351615,0.0005712499586151547,0.016941373439347308,1.0273957637778623,30.07882755495298,0.033724010174671484,0.0503852683109142,0.0,1.5059763232088597e-21,0.0004
27,UTX,2005-01-03,2018-12-31,3523,1.845887240461388,0.07756659745226457,0.00039915804666646295,0.014320291139318377,0.3376380463549288,8.20724112295911,0.02787755536184454,0.040571662161654996,0.0,2.0206771519542193e-20,0.0242
28,VZ,2005-01-03,2018-12-31,3523,2.116094323025147,0.08457077988675454,0.0004065116395068971,0.012973663430570445,0.4657744139162703,9.498254213191625,0.031338052503634986,0.04598315979092727,0.0,1.580187247297758e-21,0.0072
29,WMT,2005-01-03,2018-12-31,3523,1.3870364065967395,0.06411834818770412,0.00032208238835027155,0.012267230240953744,0.30346416600166104,11.488417542014671,0.02625923726361621,0.03825497467663706,0.0,4.331756197989165e-21,0.0258
30,XOM,2005-01-03,2018-12-31,3523,0.9798825790705881,0.04999814308235484,0.00030568804111614665,0.014970443588954985,0.36562240946001,14.522304320301231,0.0204223363963061,0.02945785930013912,0.0,1.1113777996442023e-21,0.0348
