rank,symbol,start_date,end_date,n_data,cum_roi,annual_roi,roi_mu,std,skew,ex_kurt,Sharpe,Sortino,JB,worst_ADF,SPA_c
1,2330,2005-01-03,2018-12-28,3465,7.373125163374906,0.16391306086357793,0.0007521847041847044,0.016670408398164756,0.12047127515122882,2.289375515972404,0.04512746479133139,0.06704079826696936,0.0,0.0,0.0004
2,2412,2005-01-03,2018-12-28,3465,2.6109900157411996,0.09605020875135128,0.00041373795093795095,0.009304834157502835,0.6343655552184444,9.595295773345171,0.044471256478658384,0.06741167021988476,0.0,2.9839859970470258e-21,0.0004
3,2882,2005-01-03,2018-12-28,3465,0.5145182252593936,0.030093745586816656,0.00029369062049062057,0.018662038570363,0.1466786725016132,3.0923413787885403,0.015739599302473394,0.02296609638809727,0.0,3.08954697426411e-16,0.1754
4,6505,2005-01-03,2018-12-28,3465,2.743583113731105,0.09887705614921205,0.000507605772005772,0.0159254962323435,0.1730286426154194,3.2079816681931703,0.03187838093353295,0.047124581437312144,0.0,0.0,0.006
5,2317,2005-01-03,2018-12-28,3465,1.3678342085348487,0.06350461271859431,0.0004371821067821068,0.019420114539535124,0.08754580032119343,2.1412128314743777,0.022515068332434756,0.03273577439854632,0.0,5.060749189762313e-19,0.1282
6,2303,2005-01-03,2018-12-28,3465,-0.134438455034952,-0.010259635579837889,0.00014880115440115438,0.01956460684868886,0.4095935280226788,2.6550647437161494,0.007606727404692169,0.011365276132240445,0.0,0.0,0.3276
7,2002,2005-01-03,2018-12-28,3465,0.9244659742543935,0.04787112718231312,0.00028066320346320343,0.01356379282338689,0.3342864790479084,4.12834060457283,0.02069507516277128,0.030675377908886987,0.0,5.5134930717139297e-14,0.1286
8,1303,2005-01-03,2018-12-28,3465,2.6601050969670705,0.09710839866499144,0.0004983844155844154,0.01574417488428465,0.05000593256707675,2.7712879284617298,0.03165973140931175,0.04603769713486213,0.0,0.0,0.0386
9,1326,2005-01-03,2018-12-28,3465,3.5578057333336695,0.11443305837941642,0.0005562906204906204,0.015409383572742325,0.2246931013346381,3.451435945513306,0.03610598101216998,0.05371474825977306,0.0,0.0,0.0178
10,1301,2005-01-03,2018-12-28,3465,3.6697801503435574,0.11636673783900564,0.0005575246753246755,0.015022498497309198,0.13679256013427685,3.200689290160117,0.037118002956262885,0.05485943933161172,0.0,0.0,0.0116
11,2881,2005-01-03,2018-12-28,3465,1.8267027618652367,0.07704610859878946,0.0004667471861471862,0.018274547909208346,0.09438233808741721,3.0007548229948267,0.02554451988276384,0.03710965488050234,0.0,1.0928838848259867e-18,0.0492
12,2886,2005-01-03,2018-12-28,3465,1.6038984103152858,0.07074839276436506,0.00041877344877344874,0.016892564729884457,0.10070628266663506,3.6670884963502273,0.024793978748804957,0.03610683408438544,0.0,1.9405246672647124e-16,0.0636
13,2409,2005-01-03,2018-12-28,3465,-0.5015886668001119,-0.048521155766451995,7.122222222222222e-05,0.02335183492538592,0.1561583106223726,1.1419796990754847,0.003050402765000903,0.004415324019103038,0.0,6.656160589166502e-22,0.4398
14,2891,2005-01-03,2018-12-28,3465,0.9327616144828066,0.04819312421251887,0.0003759621933621935,0.01928245518912681,0.08620099082869974,3.1179505323825127,0.019500444980602414,0.028244327483296517,0.0,3.303131587273794e-17,0.1144
15,2357,2005-01-03,2018-12-28,3465,0.6602221128530301,0.036874411119242057,0.00033126580086580083,0.01924016300737309,0.08119351295314678,2.3020407697092793,0.01721989635903197,0.02495361725391478,0.0,0.0,0.14
16,2382,2005-01-03,2018-12-28,3465,1.3241968298866675,0.06209252018798228,0.0004229174603174604,0.0189702387016894,0.20352948979072288,2.000810621372608,0.022296951937818194,0.03308319682844853,0.0,0.0,0.0616
17,3045,2005-01-03,2018-12-28,3465,4.208334274200154,0.12510427532964363,0.0005566380952380952,0.012684731844624323,0.2435887688853819,3.9398430240835136,0.043888861223471375,0.06570432533607794,0.0,0.0,0.0006
18,2883,2005-01-03,2018-12-28,3465,0.13049504919041466,0.008799607580955326,0.0001917492063492064,0.017692482405988662,0.12559041677776903,3.4434190594160405,0.01083945584215671,0.015658444861893266,0.0,2.228598109477182e-17,0.2538
19,2454,2005-01-03,2018-12-28,3465,1.449925994208419,0.06609680155362296,0.0005421417027417027,0.02382472881794626,0.08546458564496069,1.4518643329649326,0.022758703989798342,0.03310903249584827,0.0,3.628635701475629e-20,0.087
20,2880,2005-01-03,2018-12-28,3465,0.8383695038900547,0.04445097018512256,0.0002910585858585859,0.015196511815564674,0.1569737376043122,5.330909729800084,0.019155750890768493,0.02774170497848122,0.0,8.364760613393507e-19,0.0634
21,2892,2005-01-03,2018-12-28,3465,1.164753381308909,0.056714689803761154,0.0003498106782106782,0.01595369654850317,0.29830854079896413,5.1163118355926045,0.02192978698114896,0.03233511902176213,0.0,5.364835838774168e-16,0.0792
22,4904,2005-01-03,2018-12-28,3465,2.8504017041270493,0.10108757019799608,0.00046840490620490616,0.012606975301978615,0.3046355874627623,3.9270379474197936,0.03715978658739189,0.055765615445025736,0.0,0.0,0.0036
23,2887,2005-01-03,2018-12-28,3465,0.10109458925820691,0.006902625928935979,0.00020817691197691192,0.019003295719698762,0.12491795240639181,3.5170131643632345,0.010956360491893155,0.015816858766479164,0.0,2.5716386371565803e-14,0.2978
24,2353,2005-01-03,2018-12-28,3465,-0.3293643736002583,-0.028134451410811057,0.0001408698412698411,0.022682359932856253,0.32481959314594655,2.0294959708789833,0.00621144244365586,0.009208522654842437,0.0,0.0,0.3778
25,2324,2005-01-03,2018-12-28,3465,0.3506556688133837,0.021702879923475082,0.00028808888888888886,0.020081636901535162,0.13677321730859346,2.0399859748974816,0.014347957318926274,0.020865641769968732,0.0,0.0,0.185
26,2801,2005-01-03,2018-12-28,3465,0.6872241005368922,0.038069967117415615,0.0002885431457431457,0.01660537372561949,0.22116468637906816,3.7069295122468056,0.017379000096212124,0.025342314376380664,0.0,0.0,0.1406
27,1402,2005-01-03,2018-12-28,3465,1.672353272299071,0.07273492269427173,0.0005024709956709957,0.020938333825079727,0.16489254113725854,2.074575050996554,0.024001122639667194,0.03526164462764824,0.0,9.16166915396829e-16,0.0694
28,3711,2005-01-03,2018-12-28,3465,2.4663103207784984,0.09285353152829567,0.000604936507936508,0.022219445462280996,0.2113819372726006,1.7345474748662664,0.027229474303846785,0.040474150001523775,0.0,0.0,0.0412
29,2475,2005-01-03,2018-12-28,3465,-0.9791405931580505,-0.2415095105710604,-0.0006441307359307358,0.030766925203588216,0.2253141968493235,1.23842210993661,-0.020938839352631647,-0.030194493718196054,0.0,2.875724389257617e-15,0.8362
30,2888,2005-01-03,2018-12-28,3465,-0.4983730514799871,-0.04808398631260358,1.5293506493506537e-05,0.020725236247455602,0.19227241538128584,2.8724412310170404,0.0007380236173842133,0.0010695662800433972,0.0,1.3555724694142843e-16,0.4966
