symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2324,compal,20000104,108,112.5,107,112.5,44507,4930406,6.6351,3.7826,132371,6.4242
2324,compal,20000105,111,114.5,110,112.5,45124,5064575,0,3.835,132371,0
2324,compal,20000106,113.5,116.5,112.5,113,42754,4905567,0.4444,3.6336,132959,0.4435
2324,compal,20000107,111,112,108,111,26747,2944370,-1.7699,2.2732,130606,-1.7858
2324,compal,20000110,111,116,110,115,43264,4931668,3.6036,3.6769,135312,3.5402
2324,compal,20000111,117,118,110,110,39868,4546675,-4.3478,3.3883,129429,-4.4452
2324,compal,20000112,110,117,109,117,39685,4489803,6.3636,3.3728,137666,6.1694
2324,compal,20000113,117,117.5,113,113.5,36197,4183122,-2.9915,3.0763,133547,-3.0371
2324,compal,20000114,115.5,115.5,111.5,112.5,21206,2406039,-0.8811,1.8023,132371,-0.885
2324,compal,20000115,115,115,113,114,17402,1981543,1.3333,1.479,134136,1.3245
2324,compal,20000117,115,116,113.5,114.5,25638,2942453,0.4386,2.1789,134724,0.4376
2324,compal,20000118,115,115,112.5,113,12573,1424241,-1.31,1.0686,132959,-1.3187
2324,compal,20000119,113,114.5,111,111,14468,1633305,-1.7699,1.2296,130606,-1.7858
2324,compal,20000120,111,112,108,109,18248,1993998,-1.8018,1.5509,128252,-1.8182
2324,compal,20000121,109,111,109,109,15366,1688987,0,1.3059,128252,0
2324,compal,20000124,110,110.5,109,109,11044,1209514,0,0.9386,128252,0
2324,compal,20000125,109,111,109,110,12077,1329166,0.9174,1.0264,129429,0.9132
2324,compal,20000126,110,112,110,110,13400,1481868,0,1.1388,129429,0
2324,compal,20000127,110.5,111,109,109,13896,1530802,-0.9091,1.181,128252,-0.9132
2324,compal,20000128,109,113.5,108,111.5,23202,2585828,2.2936,1.9719,131194,2.2677
2324,compal,20000129,112,114.5,112,113,20803,2359314,1.3453,1.768,132959,1.3363
2324,compal,20000131,114.5,115,113.5,114,19130,2186763,0.885,1.6258,134136,0.8811
2324,compal,20000201,117,117,115.5,116,29515,3437243,1.7544,2.5084,136489,1.7392
2324,compal,20000209,119,119,114,114,23064,2684488,-1.7241,1.9602,134136,-1.7392
2324,compal,20000210,114,114.5,111,111,21516,2410217,-2.6316,1.8286,130606,-2.6668
2324,compal,20000211,112,113,111,111.5,19223,2150769,0.4505,1.6337,131194,0.4494
2324,compal,20000214,112,112,109,109,14505,1600312,-2.2422,1.2328,128252,-2.2677
2324,compal,20000215,109,110.5,109,110.5,8059,883585,1.3761,0.6849,130017,1.3668
2324,compal,20000216,111,112,109,110.5,11975,1322934,0,1.0177,130017,0
2324,compal,20000217,110.5,113,110,111,15573,1736983,0.4525,1.3235,130606,0.4515
2324,compal,20000218,112,112.5,109,109.5,13272,1471816,-1.3514,1.128,128841,-1.3606
2324,compal,20000219,109,110,108,109,10432,1131618,-0.4566,0.8866,128252,-0.4577
2324,compal,20000221,109.5,110,106,106,13210,1431759,-2.7523,1.1227,124723,-2.7909
2324,compal,20000222,106,106,101,104,11511,1191232,-1.8868,0.9783,122369,-1.9048
2324,compal,20000223,104.5,104.5,102,102.5,9045,932421,-1.4423,0.7687,120604,-1.4528
2324,compal,20000224,106,106,104.5,105.5,7523,790562,2.9268,0.6394,124134,2.8848
2324,compal,20000225,106.5,108.5,105.5,106.5,16103,1723544,0.9479,1.3686,125311,0.9434
2324,compal,20000229,108.5,108.5,106,107,7718,828774,0.4695,0.6559,125899,0.4684
2324,compal,20000301,108.5,108.5,106,106.5,7827,840505,-0.4673,0.6652,125311,-0.4684
2324,compal,20000302,107,107.5,105,105,5502,585365,-1.4085,0.4676,123546,-1.4185
2324,compal,20000303,106,106.5,105,105.5,5516,582742,0.4762,0.4688,124134,0.4751
2324,compal,20000304,106.5,109.5,106,107.5,16762,1809241,1.8957,1.4246,126488,1.878
2324,compal,20000306,108,108,106.5,106.5,5963,639235,-0.9302,0.5068,125311,-0.9346
