symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
Y9999  ,TAIEX     ,19950105, 7129.94, 7144.70, 7040.72, 7051.49,  1915000,    80604000,  -1.0270,   1.6396,     6495087,  -1.0323
Y9999  ,TAIEX     ,19950106, 7086.88, 7086.88, 6884.61, 6919.31,  1921000,    77197000,  -1.8745,   1.6418,     6373277,  -1.8923
Y9999  ,TAIEX     ,19950107, 6948.27, 6948.27, 6855.55, 6915.40,  1412000,    53479000,  -0.0565,   1.1827,     6372613,  -0.0565
Y9999  ,TAIEX     ,19950109, 6948.73, 6959.74, 6869.08, 6869.08,  1215000,    49485000,  -0.6698,   1.0196,     6329950,  -0.6721
Y9999  ,TAIEX     ,19950110, 6817.85, 6838.95, 6706.67, 6756.88,  1615000,    64700000,  -1.6334,   1.3530,     6226611,  -1.6469
Y9999  ,TAIEX     ,19950111, 6736.11, 6791.05, 6720.07, 6777.24,  1038000,    42289000,   0.3013,   0.8823,     6245742,   0.3009
Y9999  ,TAIEX     ,19950112, 6749.62, 6749.62, 6571.93, 6609.50,  1387000,    55830000,  -2.4750,   1.1596,     6096676,  -2.5062
Y9999  ,TAIEX     ,19950113, 6673.26, 6685.93, 6582.05, 6582.40,  1085000,    42733000,  -0.4100,   0.8949,     6071720,  -0.4109
Y9999  ,TAIEX     ,19950114, 6565.52, 6565.52, 6450.79, 6511.30,  1043000,    42330000,  -1.0802,   0.8501,     6006107,  -1.0860
Y9999  ,TAIEX     ,19950116, 6556.98, 6556.98, 6473.06, 6536.65,  1069000,    41464000,   0.3893,   0.8927,     6030182,   0.3886
Y9999  ,TAIEX     ,19950117, 6564.25, 6570.76, 6487.73, 6515.79,  1176000,    44250000,  -0.3191,   1.0127,     6010837,  -0.3196
Y9999  ,TAIEX     ,19950118, 6558.74, 6638.41, 6546.99, 6623.52,  1608000,    61202000,   1.6534,   1.3976,     6112430,   1.6398
Y9999  ,TAIEX     ,19950119, 6635.62, 6672.63, 6598.02, 6598.02,  1725000,    68679000,  -0.3850,   1.5052,     6089117,  -0.3857
Y9999  ,TAIEX     ,19950120, 6572.85, 6572.85, 6370.49, 6372.01,  1666000,    66839000,  -3.4254,   1.4282,     5880645,  -3.4855
Y9999  ,TAIEX     ,19950121, 6344.29, 6432.20, 6278.54, 6431.99,  1088000,    43366000,   0.9413,   0.9319,     5935995,   0.9369
Y9999  ,TAIEX     ,19950123, 6446.90, 6451.42, 6295.04, 6295.04,  1176000,    47156000,  -2.1292,   0.9999,     5811366,  -2.1522
Y9999  ,TAIEX     ,19950124, 6180.25, 6242.48, 6167.79, 6167.79,  1372000,    53297000,  -2.0214,   1.1129,     5693879,  -2.0421
Y9999  ,TAIEX     ,19950125, 6277.07, 6322.24, 6260.41, 6299.62,  1192000,    47980000,   2.1374,   0.9855,     5815665,   2.1149
Y9999  ,TAIEX     ,19950126, 6293.33, 6348.07, 6270.68, 6307.85,  1188000,    48675000,   0.1306,   0.9900,     5823274,   0.1306
Y9999  ,TAIEX     ,19950204, 6444.53, 6455.30, 6328.38, 6328.38,   825000,    34178000,   0.3255,   0.6613,     5855634,   0.3249
Y9999  ,TAIEX     ,19950206, 6298.01, 6417.28, 6298.01, 6417.28,   927000,    37289000,   1.4048,   0.7506,     5938885,   1.3950
Y9999  ,TAIEX     ,19950207, 6474.84, 6554.32, 6474.84, 6531.82,  1462000,    59608000,   1.7849,   1.2136,     6044828,   1.7691
Y9999  ,TAIEX     ,19950208, 6538.92, 6549.19, 6491.04, 6526.74,  1232000,    48623000,  -0.0778,   1.0003,     6040344,  -0.0778
Y9999  ,TAIEX     ,19950209, 6578.69, 6601.47, 6530.00, 6543.42,  1602000,    62055000,   0.2556,   1.3027,     6055933,   0.2552
Y9999  ,TAIEX     ,19950210, 6574.78, 6574.78, 6519.57, 6554.78,  1405000,    56531000,   0.1736,   1.1671,     6069025,   0.1735
Y9999  ,TAIEX     ,19950211, 6592.13, 6598.84, 6548.97, 6565.24,  1305000,    51666000,   0.1596,   1.0963,     6078603,   0.1595
Y9999  ,TAIEX     ,19950213, 6578.07, 6578.07, 6498.21, 6498.21,  1274000,    50821000,  -1.0210,   1.0526,     6016687,  -1.0262
Y9999  ,TAIEX     ,19950214, 6505.53, 6525.82, 6478.31, 6504.59,  1018000,    40230000,   0.0982,   0.8158,     6022553,   0.0981
Y9999  ,TAIEX     ,19950215, 6530.01, 6581.77, 6528.71, 6576.25,  1372000,    56075000,   1.1017,   1.1227,     6089491,   1.0957
Y9999  ,TAIEX     ,19950216, 6642.03, 6668.63, 6617.05, 6646.55,  1804000,    77419000,   1.0690,   1.5245,     6154640,   1.0633
Y9999  ,TAIEX     ,19950217, 6691.36, 6691.36, 6635.72, 6646.25,  1618000,    66032000,  -0.0045,   1.3624,     6154375,  -0.0045
Y9999  ,TAIEX     ,19950218, 6696.29, 6696.29, 6636.52, 6650.29,  1290000,    50575000,   0.0608,   1.0679,     6158064,   0.0608
Y9999  ,TAIEX     ,19950220, 6688.01, 6689.18, 6604.76, 6612.97,  1380000,    55450000,  -0.5612,   1.1571,     6124493,  -0.5628
Y9999  ,TAIEX     ,19950221, 6625.32, 6638.47, 6594.15, 6633.03,  1010000,    40778000,   0.3033,   0.8329,     6143240,   0.3029
