Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,5.178285,5.368590,5.138221,5.348557,0.301908,22990700
1990-01-03,5.348557,5.358574,5.308494,5.338542,0.301343,20658100
1990-01-04,5.308494,5.338542,5.248397,5.308494,0.299647,18640100
1990-01-05,5.268429,5.348557,5.248397,5.258413,0.296820,19340300
1990-01-08,5.208333,5.298478,5.188301,5.288462,0.298516,15605000
1990-01-09,5.268429,5.308494,5.178285,5.178285,0.292297,14263400
1990-01-10,5.188301,5.198318,5.098157,5.188301,0.292862,21369500
1990-01-11,5.218349,5.228365,5.178285,5.188301,0.292862,16127900
1990-01-12,5.088141,5.128205,5.038061,5.058093,0.285512,24648000
1990-01-15,5.028045,5.038061,4.987981,5.018029,0.283251,21439400
1990-01-16,4.967949,5.078125,4.927885,5.068109,0.286078,23663300
1990-01-17,5.068109,5.098157,5.028045,5.048077,0.284947,20505900
1990-01-18,4.997997,5.138221,4.997997,5.098157,0.287774,20489700
1990-01-19,5.128205,5.208333,5.118189,5.198318,0.293428,24020300
1990-01-22,5.188301,5.198318,5.028045,5.038061,0.284382,22295500
1990-01-23,5.088141,5.118189,5.018029,5.028045,0.283816,36789800
1990-01-24,5.028045,5.108173,4.907853,5.068109,0.286078,33973100
1990-01-25,5.078125,5.078125,4.957932,4.967949,0.280424,19079400
1990-01-26,5.028045,5.058093,4.867788,5.008013,0.282686,27703100
1990-01-29,5.028045,5.058093,4.927885,4.947917,0.279293,23191600
1990-01-30,4.977965,4.987981,4.867788,4.947917,0.279293,24130100
1990-01-31,4.987981,5.008013,4.947917,4.987981,0.281555,19740900
1990-02-01,4.987981,4.997997,4.937901,4.947917,0.279293,15035900
1990-02-02,4.947917,5.038061,4.947917,4.947917,0.279293,15914500
1990-02-05,4.937901,4.967949,4.927885,4.947917,0.279293,9499800
1990-02-06,4.957932,5.008013,4.937901,4.967949,0.280424,14964800
1990-02-07,4.947917,5.048077,4.937901,5.018029,0.283251,19452600
1990-02-08,5.048077,5.058093,5.018029,5.048077,0.284947,17173700
