Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,5.385417,5.583333,5.343750,5.562500,3.454462,22106400
1990-01-03,5.562500,5.572917,5.520833,5.552083,3.447994,19863600
1990-01-04,5.520833,5.552083,5.458333,5.520833,3.428585,17923200
1990-01-05,5.479167,5.562500,5.458333,5.468750,3.396239,18596400
1990-01-08,5.416667,5.510417,5.395833,5.500000,3.415648,15004800
1990-01-09,5.479167,5.520833,5.385417,5.385417,3.344487,13714800
1990-01-10,5.395833,5.406250,5.302083,5.395833,3.350957,20547600
1990-01-11,5.427083,5.437500,5.385417,5.395833,3.350957,15507600
1990-01-12,5.291667,5.333333,5.239583,5.260417,3.266859,23700000
1990-01-15,5.229167,5.239583,5.187500,5.218750,3.240983,20614800
1990-01-16,5.166667,5.281250,5.125000,5.270833,3.273328,22753200
1990-01-17,5.270833,5.302083,5.229167,5.250000,3.260390,19717200
1990-01-18,5.197917,5.343750,5.197917,5.302083,3.292736,19701600
1990-01-19,5.333333,5.416667,5.322917,5.406250,3.357425,23096400
1990-01-22,5.395833,5.406250,5.229167,5.239583,3.253922,21438000
1990-01-23,5.291667,5.322917,5.218750,5.229167,3.247453,35374800
1990-01-24,5.229167,5.312500,5.104167,5.270833,3.273328,32666400
1990-01-25,5.281250,5.281250,5.156250,5.166667,3.208638,18345600
1990-01-26,5.229167,5.260417,5.062500,5.208333,3.234514,26637600
1990-01-29,5.229167,5.260417,5.125000,5.145833,3.195699,22299600
1990-01-30,5.177083,5.187500,5.062500,5.145833,3.195699,23202000
1990-01-31,5.187500,5.208333,5.145833,5.187500,3.221577,18981600
1990-02-01,5.187500,5.197917,5.135417,5.145833,3.195699,14457600
1990-02-02,5.145833,5.239583,5.145833,5.145833,3.195699,15302400
1990-02-05,5.135417,5.166667,5.125000,5.145833,3.195699,9134400
1990-02-06,5.156250,5.208333,5.135417,5.166667,3.208638,14389200
1990-02-07,5.145833,5.250000,5.135417,5.218750,3.240983,18704400
1990-02-08,5.250000,5.260417,5.218750,5.250000,3.260390,16513200
1990-02-09,5.250000,5.312500,5.229167,5.270833,3.273328,13785600
1990-02-12,5.250000,5.260417,5.177083,5.187500,3.221577,15488400
1990-02-13,5.187500,5.197917,5.104167,5.177083,3.215108,20540400
1990-02-14,5.177083,5.208333,5.166667,5.187500,3.221577,10269600
1990-02-15,5.177083,5.250000,5.177083,5.218750,3.240983,12546000
1990-02-16,5.229167,5.270833,5.166667,5.166667,3.208638,21541200
1990-02-20,5.093750,5.125000,5.072917,5.072917,3.150416,22068000
1990-02-21,5.031250,5.072917,5.010417,5.041667,3.131011,20756400
1990-02-22,5.062500,5.125000,5.052083,5.062500,3.143948,17676000
1990-02-23,5.010417,5.083333,5.010417,5.041667,3.131011,14785200
1990-02-26,5.062500,5.104167,5.052083,5.104167,3.169823,16886400
1990-02-27,5.104167,5.177083,5.104167,5.166667,3.208638,20508000
1990-02-28,5.125000,5.197917,5.114583,5.145833,3.220113,21376800
1990-03-01,5.135417,5.156250,5.093750,5.135417,3.213593,27291600
1990-03-02,5.156250,5.197917,5.135417,5.197917,3.252705,20215200
1990-03-05,5.197917,5.239583,5.145833,5.145833,3.220113,18685200
1990-03-06,5.156250,5.197917,5.114583,5.197917,3.252705,18181200
1990-03-07,5.218750,5.239583,5.197917,5.218750,3.265742,12364800
1990-03-08,5.208333,5.250000,5.177083,5.250000,3.285296,16664400
1990-03-09,5.218750,5.250000,5.208333,5.218750,3.265742,13256400
1990-03-12,5.187500,5.218750,5.177083,5.197917,3.252705,12255600
1990-03-13,5.187500,5.218750,5.145833,5.166667,3.233150,14433600
1990-03-14,5.177083,5.260417,5.177083,5.250000,3.285296,15728400
1990-03-15,5.250000,5.302083,5.250000,5.270833,3.298334,20035200
1990-03-16,5.302083,5.343750,5.291667,5.333333,3.337446,35026800
1990-03-19,5.302083,5.427083,5.291667,5.406250,3.383073,13922400
1990-03-20,5.416667,5.416667,5.354167,5.364583,3.357001,18409200
1990-03-21,5.385417,5.437500,5.343750,5.343750,3.343964,14967600
1990-03-22,5.322917,5.343750,5.239583,5.281250,3.304852,18038400
1990-03-23,5.291667,5.322917,5.281250,5.312500,3.324408,11347200
1990-03-26,5.322917,5.364583,5.322917,5.333333,3.337446,9906000
1990-03-27,5.322917,5.406250,5.312500,5.406250,3.383073,11997600
1990-03-28,5.385417,5.416667,5.385417,5.406250,3.383073,11163600
1990-03-29,5.385417,5.395833,5.343750,5.375000,3.363519,16818000
1990-03-30,5.364583,5.406250,5.343750,5.354167,3.350482,17030400
1990-04-02,5.322917,5.343750,5.302083,5.333333,3.337446,11740800
1990-04-03,5.333333,5.416667,5.333333,5.416667,3.389591,13980000
1990-04-04,5.416667,5.437500,5.354167,5.354167,3.350482,15663600
1990-04-05,5.385417,5.406250,5.354167,5.364583,3.357001,10414800
1990-04-06,5.385417,5.395833,5.333333,5.364583,3.357001,11516400
1990-04-09,5.354167,5.406250,5.354167,5.375000,3.363519,7209600
1990-04-10,5.375000,5.385417,5.354167,5.364583,3.357001,8175600
1990-04-11,5.375000,5.437500,5.375000,5.406250,3.383073,13491600
1990-04-12,5.437500,5.520833,5.427083,5.500000,3.441738,16324800
1990-04-16,5.562500,5.583333,5.520833,5.562500,3.480852,16588800
1990-04-17,5.541667,5.583333,5.520833,5.572917,3.487368,18181200
1990-04-18,5.593750,5.604167,5.500000,5.541667,3.467813,16310400
1990-04-19,5.500000,5.562500,5.468750,5.479167,3.428702,16311600
1990-04-20,5.468750,5.500000,5.406250,5.458333,3.415666,23461200
1990-04-23,5.437500,5.447917,5.354167,5.375000,3.363519,17616000
1990-04-24,5.395833,5.416667,5.343750,5.364583,3.357001,13848000
1990-04-25,5.375000,5.395833,5.354167,5.364583,3.357001,13722000
1990-04-26,5.364583,5.406250,5.333333,5.385417,3.370037,13003200
1990-04-27,5.395833,5.437500,5.322917,5.322917,3.330925,17870400
1990-04-30,5.322917,5.364583,5.312500,5.333333,3.337446,12487200
1990-05-01,5.354167,5.395833,5.354167,5.364583,3.357001,10017600
1990-05-02,5.375000,5.395833,5.354167,5.395833,3.376556,9229200
1990-05-03,5.416667,5.447917,5.385417,5.395833,3.376556,17920800
1990-05-04,5.416667,5.447917,5.375000,5.447917,3.409147,11756400
1990-05-07,5.427083,5.510417,5.427083,5.479167,3.428702,12811200
1990-05-08,5.489583,5.531250,5.479167,5.531250,3.461296,14254800
1990-05-09,5.479167,5.604167,5.479167,5.562500,3.480852,26126400
1990-05-10,5.572917,5.635417,5.552083,5.604167,3.506924,31374000
1990-05-11,5.625000,5.687500,5.604167,5.677083,3.552553,3067200
1990-05-14,5.687500,5.770833,5.666667,5.708333,3.572107,27454800
1990-05-15,5.677083,5.708333,5.666667,5.687500,3.559072,15062400
1990-05-16,5.687500,5.697917,5.666667,5.677083,3.552553,17642400
1990-05-17,5.697917,5.729167,5.635417,5.666667,3.546035,22114800
1990-05-18,5.666667,5.687500,5.614583,5.677083,3.552553,25810800
1990-05-21,5.666667,5.729167,5.666667,5.697917,3.565591,17463600
1990-05-22,5.729167,5.739583,5.687500,5.708333,3.572107,18712800
1990-05-23,5.687500,5.708333,5.656250,5.697917,3.565591,14547600
1990-05-24,5.708333,5.791667,5.697917,5.781250,3.617736,16718400
1990-05-25,5.760417,5.791667,5.687500,5.697917,3.565591,17535600
1990-05-29,5.687500,5.833333,5.687500,5.812500,3.637293,13233600
1990-05-30,5.833333,5.843750,5.760417,5.781250,3.617736,26901600
1990-05-31,5.718750,5.802083,5.718750,5.739583,3.591664,11590800
1990-06-01,5.802083,5.822917,5.750000,5.791667,3.624255,11856000
1990-06-04,5.791667,5.864583,5.760417,5.864583,3.669884,12818400
1990-06-05,5.854167,5.864583,5.812500,5.822917,3.643811,16773600
1990-06-06,5.812500,5.843750,5.781250,5.781250,3.617736,12782400
1990-06-07,5.802083,5.812500,5.750000,5.770833,3.611220,1023600
1990-06-08,5.770833,5.791667,5.697917,5.708333,3.572107,14556000
1990-06-11,5.687500,5.750000,5.687500,5.739583,3.591664,8870400
1990-06-12,5.750000,5.895833,5.729167,5.854167,3.663367,16316400
1990-06-13,5.864583,5.895833,5.833333,5.854167,3.663367,15201600
1990-06-14,5.833333,5.854167,5.781250,5.802083,3.630775,12387600
1990-06-15,5.770833,5.864583,5.760417,5.843750,3.656848,32414400
1990-06-18,5.822917,5.833333,5.760417,5.760417,3.604702,14439600
1990-06-19,5.750000,5.822917,5.750000,5.822917,3.643811,12129600
1990-06-20,5.812500,5.854167,5.802083,5.843750,3.656848,10206000
1990-06-21,5.854167,5.875000,5.791667,5.843750,3.656848,14396400
1990-06-22,5.854167,5.927083,5.760417,5.781250,3.617736,18577200
1990-06-25,5.802083,5.822917,5.760417,5.781250,3.617736,12343200
1990-06-26,5.812500,5.833333,5.750000,5.750000,3.598182,12596400
1990-06-27,5.729167,5.791667,5.729167,5.760417,3.604702,14412000
1990-06-28,5.770833,5.812500,5.760417,5.770833,3.611220,9392400
1990-06-29,5.791667,5.802083,5.770833,5.770833,3.611220,12418800
1990-07-02,5.781250,5.875000,5.781250,5.875000,3.676403,11601600
1990-07-03,5.895833,5.947917,5.895833,5.927083,3.708995,12076800
1990-07-05,5.906250,5.916667,5.822917,5.854167,3.663367,13114800
1990-07-06,5.833333,5.927083,5.822917,5.885417,3.682922,8640000
1990-07-09,5.906250,5.958333,5.895833,5.947917,3.722032,13110000
1990-07-10,5.947917,5.947917,5.885417,5.895833,3.689442,14000400
1990-07-11,5.906250,6.010417,5.895833,6.010417,3.761145,17438400
1990-07-12,6.000000,6.125000,5.989583,6.114583,3.826328,21802800
1990-07-13,6.145833,6.291667,6.135417,6.239583,3.904549,32024400
1990-07-16,6.229167,6.270833,6.197917,6.229167,3.898030,16550400
1990-07-17,6.239583,6.239583,6.166667,6.197917,3.878475,16970400
1990-07-18,6.187500,6.197917,6.145833,6.197917,3.878475,11205600
1990-07-19,6.177083,6.250000,6.156250,6.250000,3.911068,16044000
1990-07-20,6.239583,6.281250,6.166667,6.166667,3.858922,22041600
1990-07-23,6.135417,6.156250,5.802083,6.041667,3.780699,39535200
1990-07-24,6.010417,6.093750,5.947917,6.072917,3.800254,22772400
1990-07-25,6.062500,6.114583,6.041667,6.104167,3.819809,19690800
1990-07-26,6.114583,6.114583,6.041667,6.083333,3.806772,13587600
1990-07-27,6.083333,6.104167,5.979167,6.000000,3.754626,15388800
1990-07-30,5.979167,6.041667,5.927083,6.041667,3.780699,16182000
1990-07-31,6.041667,6.041667,5.927083,5.968750,3.735070,17149200
1990-08-01,5.958333,6.010417,5.916667,6.000000,3.754626,11884800
1990-08-02,5.875000,5.927083,5.854167,5.885417,3.682922,26122800
1990-08-03,5.843750,5.843750,5.562500,5.812500,3.637293,40646400
1990-08-06,5.479167,5.541667,5.468750,5.500000,3.441738,34378800
1990-08-07,5.625000,5.625000,5.541667,5.604167,3.506924,35928000
1990-08-08,5.593750,5.697917,5.583333,5.656250,3.539516,19042800
1990-08-09,5.656250,5.677083,5.604167,5.666667,3.546035,16318800
1990-08-10,5.656250,5.656250,5.531250,5.552083,3.474333,14250000
1990-08-13,5.531250,5.625000,5.468750,5.625000,3.519960,16153200
1990-08-14,5.593750,5.687500,5.520833,5.583333,3.493888,17850000
1990-08-15,5.625000,5.656250,5.510417,5.520833,3.454777,17689200
1990-08-16,5.479167,5.489583,5.395833,5.406250,3.383073,21270000
1990-08-17,5.333333,5.375000,5.250000,5.333333,3.337446,38864400
1990-08-20,5.312500,5.385417,5.250000,5.333333,3.337446,15891600
1990-08-21,5.187500,5.218750,5.125000,5.156250,3.226630,34074000
1990-08-22,5.187500,5.197917,4.989583,5.020833,3.141893,27439200
1990-08-23,4.854167,4.947917,4.812500,4.875000,3.050632,41581200
1990-08-24,4.979167,5.125000,4.916667,5.114583,3.200557,30946800
1990-08-27,5.281250,5.364583,5.270833,5.291667,3.311372,31798800
1990-08-28,5.260417,5.291667,5.239583,5.239583,3.278778,16227600
1990-08-29,5.218750,5.281250,5.197917,5.218750,3.265742,14964000
1990-08-30,5.239583,5.239583,5.104167,5.156250,3.226630,16497600
1990-08-31,5.135417,5.177083,5.072917,5.166667,3.233150,10462800
1990-09-04,5.114583,5.114583,5.031250,5.104167,3.194037,18162000
1990-09-05,5.093750,5.104167,4.979167,5.020833,3.141893,20912400
1990-09-06,5.000000,5.041667,4.968750,5.000000,3.128854,21080400
1990-09-07,4.989583,5.062500,4.989583,5.052083,3.161445,14437200
1990-09-10,5.135417,5.166667,5.062500,5.093750,3.187520,16923600
1990-09-11,5.104167,5.187500,5.062500,5.187500,3.246186,11461200
1990-09-12,5.197917,5.197917,5.135417,5.166667,3.233150,11451600
1990-09-13,5.145833,5.156250,5.020833,5.031250,3.148409,10999200
1990-09-14,4.989583,5.020833,4.927083,4.958333,3.102780,20404800
1990-09-17,4.916667,4.979167,4.906250,4.916667,3.076707,15123600
1990-09-18,4.906250,4.916667,4.822917,4.885417,3.057151,26780400
1990-09-19,4.885417,4.895833,4.677083,4.677083,2.926781,36505200
1990-09-20,4.635417,4.656250,4.479167,4.593750,2.898913,39603600
1990-09-21,4.562500,4.697917,4.552083,4.656250,2.938353,38478000
1990-09-24,4.593750,4.604167,4.520833,4.541667,2.866045,23841600
1990-09-25,4.562500,4.635417,4.531250,4.635417,2.925209,19414800
1990-09-26,4.635417,4.666667,4.572917,4.583333,2.892339,20774400
1990-09-27,4.541667,4.552083,4.239583,4.302083,2.714855,39099600
1990-09-28,4.187500,4.562500,4.187500,4.541667,2.866045,33742800
1990-10-01,4.541667,4.708333,4.541667,4.687500,2.958074,9996000
1990-10-02,4.729167,4.781250,4.635417,4.645833,2.931781,29752800
1990-10-03,4.614583,4.697917,4.520833,4.541667,2.866045,16078800
1990-10-04,4.479167,4.583333,4.447917,4.531250,2.859473,19591200
1990-10-05,4.437500,4.635417,4.385417,4.520833,2.852899,23518800
