Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,8.593750,8.718750,8.562500,8.718750,5.203971,3128000
1990-01-03,8.687500,8.687500,8.562500,8.625000,5.148017,4244800
1990-01-04,8.625000,8.656250,8.437500,8.468750,5.054755,3026400
1990-01-05,8.437500,8.500000,8.218750,8.312500,4.961494,4822400
1990-01-08,8.281250,8.500000,8.218750,8.468750,5.054755,3346000
1990-01-09,8.500000,8.562500,8.406250,8.406250,5.017450,4269200
1990-01-10,8.312500,8.375000,8.156250,8.250000,4.924191,4530000
1990-01-11,8.312500,8.468750,8.156250,8.187500,4.886885,2773600
1990-01-12,8.125000,8.125000,7.750000,8.031250,4.793623,5225200
1990-01-15,8.000000,8.125000,7.875000,7.937500,4.737668,4260000
1990-01-16,7.812500,8.031250,7.750000,8.031250,4.793623,4524400
1990-01-17,8.031250,8.093750,7.937500,8.031250,4.793623,2595200
1990-01-18,7.875000,8.125000,7.843750,8.062500,4.812278,3970000
1990-01-19,8.031250,8.062500,7.937500,7.968750,4.756319,3051200
1990-01-22,7.937500,7.937500,7.687500,7.750000,4.625756,3492800
1990-01-23,7.812500,7.937500,7.750000,7.875000,4.700365,2500800
1990-01-24,7.781250,7.906250,7.656250,7.750000,4.625756,4014000
1990-01-25,7.875000,7.906250,7.656250,7.718750,4.607102,2848400
1990-01-26,7.687500,7.937500,7.593750,7.812500,4.663059,4648400
1990-01-29,7.781250,7.906250,7.656250,7.812500,4.663059,2763200
1990-01-30,7.781250,7.937500,7.750000,7.812500,4.663059,4034400
1990-01-31,7.875000,8.156250,7.875000,8.156250,4.868233,3586800
1990-02-01,8.156250,8.343750,8.156250,8.281250,4.942843,4661600
1990-02-02,8.250000,8.375000,8.250000,8.312500,4.961494,3623600
1990-02-05,8.250000,8.375000,8.250000,8.375000,4.998799,2855600
1990-02-06,8.312500,8.343750,8.250000,8.281250,4.942843,2838400
1990-02-07,8.312500,8.468750,8.187500,8.468750,5.054755,4014000
1990-02-08,8.437500,8.500000,8.281250,8.281250,4.942843,4473600
1990-02-09,8.343750,8.375000,8.218750,8.250000,4.924191,3262000
1990-02-12,8.218750,8.250000,8.125000,8.125000,4.849580,2018400
1990-02-13,8.093750,8.156250,8.031250,8.156250,4.868233,3273200
1990-02-14,8.125000,8.156250,8.031250,8.062500,4.812278,2158800
1990-02-15,8.093750,8.218750,8.062500,8.218750,4.905538,2292000
1990-02-16,8.218750,8.218750,8.062500,8.093750,4.830928,3282400
1990-02-20,8.000000,8.062500,7.906250,7.968750,4.756319,2610000
1990-02-21,7.812500,7.906250,7.812500,7.812500,4.663059,3957600
1990-02-22,7.812500,7.906250,7.750000,7.812500,4.663059,2979200
1990-02-23,7.718750,7.781250,7.656250,7.687500,4.588449,4256400
1990-02-26,7.656250,7.875000,7.656250,7.875000,4.700365,3562400
1990-02-27,7.812500,7.968750,7.781250,7.906250,4.730580,3072800
1990-02-28,7.937500,8.062500,7.875000,7.875000,4.711882,3367200
1990-03-01,7.906250,7.937500,7.781250,7.875000,4.711882,3275200
1990-03-02,7.906250,8.000000,7.875000,7.937500,4.749277,2934800
1990-03-05,7.968750,8.000000,7.937500,8.000000,4.786674,1977200
1990-03-06,8.000000,8.031250,7.937500,8.000000,4.786674,3800000
1990-03-07,8.000000,8.031250,7.781250,7.781250,4.655787,3456000
1990-03-08,7.843750,8.000000,7.781250,8.000000,4.786674,3044400
1990-03-09,8.000000,8.062500,7.937500,8.031250,4.805370,2304000
1990-03-12,7.968750,8.000000,7.906250,8.000000,4.786674,2383200
1990-03-13,7.937500,7.968750,7.875000,7.906250,4.730580,2369600
1990-03-14,7.968750,7.968750,7.843750,7.937500,4.749277,2038000
1990-03-15,7.906250,7.968750,7.875000,7.906250,4.730580,2024400
1990-03-16,7.968750,7.968750,7.937500,7.968750,4.767974,4211600
1990-03-19,7.968750,8.187500,7.875000,8.187500,4.898862,4793200
1990-03-20,8.125000,8.187500,8.062500,8.093750,4.842767,3330800
1990-03-21,8.093750,8.125000,7.906250,7.968750,4.767974,1659600
1990-03-22,7.843750,7.906250,7.750000,7.875000,4.711882,4283600
1990-03-23,7.937500,7.968750,7.812500,7.843750,4.693184,1635200
1990-03-26,7.875000,7.937500,7.843750,7.843750,4.693184,1956000
1990-03-27,7.843750,7.968750,7.812500,7.968750,4.767974,2750000
1990-03-28,8.000000,8.031250,7.937500,7.968750,4.767974,2410800
1990-03-29,7.937500,7.968750,7.843750,7.906250,4.730580,2060800
1990-03-30,7.906250,8.062500,7.875000,7.937500,4.749277,2594800
1990-04-02,7.875000,7.937500,7.812500,7.906250,4.730580,2372800
1990-04-03,7.906250,8.031250,7.906250,8.000000,4.786674,1872800
1990-04-04,7.937500,8.000000,7.875000,7.875000,4.711882,2658400
1990-04-05,7.875000,7.937500,7.843750,7.875000,4.711882,2044000
1990-04-06,7.906250,7.906250,7.750000,7.812500,4.674486,1904800
1990-04-09,7.781250,7.968750,7.750000,7.968750,4.767974,2602000
1990-04-10,7.968750,8.125000,7.937500,8.062500,4.824070,3718800
1990-04-11,8.093750,8.125000,8.031250,8.031250,4.805370,1948800
1990-04-12,8.031250,8.218750,8.031250,8.156250,4.880161,2447600
1990-04-16,8.218750,8.312500,8.156250,8.218750,4.917558,2835600
1990-04-17,8.156250,8.281250,8.125000,8.250000,4.936256,2768000
1990-04-18,8.281250,8.281250,8.062500,8.093750,4.842767,2541600
1990-04-19,8.031250,8.093750,7.968750,7.968750,4.767974,1995600
1990-04-20,7.968750,8.000000,7.750000,7.875000,4.711882,4820400
1990-04-23,7.875000,7.875000,7.687500,7.781250,4.655787,3690000
1990-04-24,7.781250,7.843750,7.687500,7.718750,4.618390,2756400
1990-04-25,7.750000,7.781250,7.718750,7.718750,4.618390,2880400
1990-04-26,7.750000,7.781250,7.593750,7.656250,4.580997,4033600
1990-04-27,7.656250,7.718750,7.593750,7.593750,4.543601,4776000
1990-04-30,7.593750,7.625000,7.500000,7.562500,4.524902,3803200
1990-05-01,7.562500,7.687500,7.500000,7.656250,4.580997,3445600
1990-05-02,7.656250,7.781250,7.656250,7.781250,4.655787,1776800
1990-05-03,7.812500,7.937500,7.781250,7.812500,4.674486,4505600
1990-05-04,7.875000,7.968750,7.781250,7.968750,4.767974,2851600
1990-05-07,7.968750,8.031250,7.906250,7.937500,4.749277,2378800
1990-05-08,7.906250,7.937500,7.812500,7.843750,4.693184,2984000
1990-05-09,7.781250,7.968750,7.781250,7.937500,4.749277,3361600
1990-05-10,7.937500,8.062500,7.906250,7.968750,4.767974,3478400
1990-05-11,8.000000,8.187500,7.968750,8.156250,4.880161,8518800
1990-05-14,8.125000,8.250000,8.062500,8.125000,4.861465,5972800
1990-05-15,8.031250,8.093750,7.968750,8.031250,4.805370,3652800
1990-05-16,8.000000,8.062500,7.906250,7.937500,4.749277,3352400
1990-05-17,7.968750,8.062500,7.937500,7.968750,4.767974,3609200
1990-05-18,8.000000,8.218750,7.937500,8.187500,4.898862,4956800
1990-05-21,8.187500,8.375000,8.093750,8.375000,5.011047,4436800
1990-05-22,8.437500,8.500000,8.343750,8.406250,5.029744,3956400
1990-05-23,8.312500,8.531250,8.250000,8.531250,5.104537,4913600
1990-05-24,8.625000,8.875000,8.593750,8.781250,5.254118,7754000
1990-05-25,8.718750,8.718750,8.593750,8.593750,5.141932,2594400
1990-05-29,8.625000,8.750000,8.562500,8.687500,5.198028,2357200
1990-05-30,8.750000,8.750000,8.593750,8.656250,5.192030,4573200
1990-05-31,8.562500,8.656250,8.562500,8.656250,5.192030,2806400
1990-06-01,8.750000,9.187500,8.656250,8.875000,5.323235,4931200
1990-06-04,8.843750,9.093750,8.562500,9.093750,5.454444,4961200
1990-06-05,9.156250,9.187500,8.875000,8.937500,5.360727,8258400
1990-06-06,8.843750,8.937500,8.718750,8.781250,5.267006,3402400
1990-06-07,8.812500,8.875000,8.656250,8.843750,5.304493,2962400
1990-06-08,8.781250,8.812500,8.593750,8.687500,5.210774,2798400
1990-06-11,8.625000,8.875000,8.593750,8.843750,5.304493,3076400
1990-06-12,8.906250,9.125000,8.843750,9.031250,5.416954,4192800
1990-06-13,9.062500,9.156250,8.937500,9.062500,5.435699,4071600
