Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,8.750000,8.812500,8.656250,8.812500,1.801474,5742400
1990-01-03,8.812500,8.859375,8.750000,8.796875,1.798280,6478400
1990-01-04,8.750000,8.765625,8.562500,8.625000,1.763145,6286400
1990-01-05,8.562500,8.640625,8.468750,8.468750,1.731204,4283200
1990-01-08,8.468750,8.656250,8.453125,8.625000,1.763145,2887200
1990-01-09,8.609375,8.671875,8.562500,8.625000,1.763145,5472000
1990-01-10,8.671875,8.687500,8.562500,8.671875,1.772728,4456000
1990-01-11,8.734375,8.843750,8.687500,8.796875,1.798280,3821600
1990-01-12,8.625000,8.671875,8.390625,8.468750,1.824625,6524800
1990-01-15,8.421875,8.546875,8.406250,8.500000,1.831357,3548000
1990-01-16,8.421875,8.609375,8.421875,8.609375,1.854923,5158400
1990-01-17,8.593750,8.671875,8.531250,8.562500,1.844823,4715200
1990-01-18,8.515625,8.718750,8.515625,8.687500,1.871755,4432800
1990-01-19,8.750000,8.750000,8.625000,8.625000,1.858289,6000000
1990-01-22,8.625000,8.640625,8.359375,8.421875,1.814526,4911200
1990-01-23,8.468750,8.500000,8.218750,8.265625,1.780862,6199200
1990-01-24,8.125000,8.312500,8.125000,8.281250,1.784226,5979200
1990-01-25,8.328125,8.453125,7.843750,7.843750,1.689966,13050400
1990-01-26,7.890625,8.015625,7.812500,7.890625,1.700066,12151200
1990-01-29,7.890625,7.937500,7.750000,7.828125,1.686599,4562400
1990-01-30,7.875000,7.890625,7.750000,7.843750,1.689966,5979200
1990-01-31,7.921875,8.078125,7.875000,8.000000,1.723631,6228000
1990-02-01,8.031250,8.109375,8.000000,8.078125,1.740463,5135200
1990-02-02,8.062500,8.187500,8.015625,8.140625,1.753929,3768000
1990-02-05,8.156250,8.218750,8.156250,8.203125,1.767395,3948000
1990-02-06,8.187500,8.203125,8.093750,8.140625,1.753929,4194400
1990-02-07,8.078125,8.296875,8.031250,8.234375,1.774128,4373600
1990-02-08,8.218750,8.312500,8.125000,8.187500,1.764028,4962400
1990-02-09,8.250000,8.328125,8.171875,8.281250,1.784226,4240000
1990-02-12,8.281250,8.296875,8.140625,8.140625,1.753929,2880800
1990-02-13,8.156250,8.203125,8.109375,8.140625,1.753929,4260000
1990-02-14,8.156250,8.234375,8.156250,8.203125,1.767395,2314400
1990-02-15,8.187500,8.359375,8.187500,8.328125,1.794327,2984800
1990-02-16,8.359375,8.406250,8.296875,8.359375,1.801059,5103200
1990-02-20,8.156250,8.234375,8.125000,8.156250,1.757296,3996800
1990-02-21,8.031250,8.109375,8.015625,8.078125,1.740463,4656000
1990-02-22,8.046875,8.109375,7.875000,7.890625,1.700066,4048000
1990-02-23,7.843750,7.937500,7.718750,7.812500,1.683234,4683200
1990-02-26,7.843750,7.906250,7.812500,7.890625,1.700066,2842400
1990-02-27,7.859375,7.984375,7.859375,7.890625,1.700066,2995200
1990-02-28,7.890625,8.046875,7.890625,7.984375,1.720264,3504000
1990-03-01,7.968750,8.015625,7.875000,7.921875,1.706799,3273600
1990-03-02,7.937500,7.953125,7.828125,7.921875,1.706799,4338400
1990-03-05,7.921875,7.937500,7.812500,7.921875,1.706799,3295200
1990-03-06,7.906250,7.968750,7.828125,7.921875,1.706799,3928800
1990-03-07,7.937500,8.031250,7.890625,7.921875,1.706799,5844000
1990-03-08,7.937500,8.156250,7.921875,8.125000,1.750562,4908000
1990-03-09,8.031250,8.109375,7.984375,8.109375,1.747196,5536000
1990-03-12,8.062500,8.140625,8.015625,8.015625,1.726997,3555200
1990-03-13,8.046875,8.093750,7.984375,8.015625,1.726997,3976000
1990-03-14,8.031250,8.203125,8.031250,8.140625,1.753929,4073600
1990-03-15,8.140625,8.187500,8.078125,8.078125,1.740463,3354400
1990-03-16,8.156250,8.281250,8.125000,8.281250,1.784226,8744000
1990-03-19,8.234375,8.484375,8.187500,8.437500,1.817892,5091200
1990-03-20,8.437500,8.546875,8.390625,8.515625,1.834724,6793600
1990-03-21,8.546875,8.546875,8.468750,8.500000,1.831357,2896800
1990-03-22,8.437500,8.484375,8.296875,8.343750,1.797693,4032000
1990-03-23,8.343750,8.484375,8.328125,8.406250,1.811159,3397600
1990-03-26,8.406250,8.578125,8.406250,8.515625,1.834724,4994400
1990-03-27,8.484375,8.625000,8.453125,8.625000,1.858289,2451200
1990-03-28,8.625000,8.656250,8.546875,8.609375,1.854923,2824800
1990-03-29,8.546875,8.625000,8.531250,8.531250,1.838091,2586400
1990-03-30,8.500000,8.578125,8.421875,8.468750,1.824625,3866400
1990-04-02,8.390625,8.468750,8.375000,8.453125,1.821258,2668800
1990-04-03,8.468750,8.687500,8.421875,8.656250,1.865022,3745600
1990-04-04,8.640625,8.640625,8.515625,8.531250,1.838091,3900000
1990-04-05,8.578125,8.625000,8.531250,8.593750,1.851556,3765600
1990-04-06,8.625000,8.625000,8.515625,8.578125,1.848190,3424800
1990-04-09,8.546875,8.718750,8.546875,8.718750,1.878488,3129600
