symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
4904,环肚         ,20011210,33.1,33.1,33.1,33.1,801,26513,6.7742,0.0424,62559,6.5546
4904,环肚         ,20011211,35.4,35.4,35.4,35.4,1,35,6.9486,0.0001,66906,6.7179
4904,环肚         ,20011212,37.8,37.8,37.8,37.8,2,75,6.7797,0.0001,71442,6.5597
4904,环肚         ,20011213,40.4,40.4,40.4,40.4,27,1090,6.8783,0.0014,76356,6.6521
4904,环肚         ,20011214,43.2,43.2,43.2,43.2,525,22701,6.9307,0.0278,81648,6.7011
4904,环肚         ,20011217,46.2,46.2,46.2,46.2,247,11433,6.9444,0.0131,87318,6.7139
4904,环肚         ,20011218,49.4,49.4,49.4,49.4,251,12399,6.9264,0.0133,93366,6.6971
4904,环肚         ,20011219,52.5,52.5,52.5,52.5,3968,208330,6.2753,0.2099,99225,6.0863
4904,环肚         ,20011220,52.5,52.5,48.9,48.9,8333,423438,-6.8571,0.4409,92421,-7.1036
4904,环肚         ,20011221,45.5,47,45.5,46.2,10180,464061,-5.5215,0.5386,87318,-5.6798
4904,环肚         ,20011224,46,48.5,45.1,46.4,4648,218048,0.4329,0.2459,87696,0.432
4904,环肚         ,20011225,46.5,47.9,46.5,47.9,3438,162198,3.2328,0.1819,90531,3.1816
4904,环肚         ,20011226,47.9,48,46.2,46.5,3460,162974,-2.9228,0.1831,87885,-2.9663
4904,环肚         ,20011227,46.5,46.9,43.6,45,6555,301486,-3.2258,0.3468,85050,-3.279
4904,环肚         ,20011228,45,47.5,44.3,46.9,7589,350013,4.2222,0.4015,88641,4.1355
4904,环肚         ,20011231,47,48.6,46.8,48.6,8844,422093,3.6247,0.4679,91854,3.5606
4904,环肚         ,20020102,48.4,48.4,46.2,46.9,2026,95466,-3.4979,0.1072,88641,-3.5606
4904,环肚         ,20020103,46.4,46.9,45.8,46.4,974,45094,-1.0661,0.0515,87696,-1.0718
4904,环肚         ,20020104,46.4,46.9,45.5,45.5,857,39616,-1.9397,0.0453,85995,-1.9587
4904,环肚         ,20020107,45.5,47,45.2,46.9,2405,111148,3.0769,0.1272,88641,3.0305
4904,环肚         ,20020108,47.3,47.3,45.6,46.1,2909,134243,-1.7058,0.1539,87129,-1.7205
4904,环肚         ,20020109,46.1,47,45.8,46.1,3228,149532,0,0.1708,87129,0
4904,环肚         ,20020110,46.2,46.4,45.6,45.9,2615,120264,-0.4338,0.1384,86751,-0.4348
4904,环肚         ,20020111,46,46.6,45.6,46,2431,112012,0.2179,0.1286,86940,0.2176
4904,环肚         ,20020114,46,46,44,45.8,1688,75514,-0.4348,0.0893,86562,-0.4357
4904,环肚         ,20020115,44.2,45.8,44.2,45.8,1316,59621,0,0.0696,86562,0
4904,环肚         ,20020116,45.7,46.1,45.1,45.9,957,43711,0.2183,0.0506,86751,0.2181
4904,环肚         ,20020117,45.5,45.8,44.8,45.8,663,30039,-0.2179,0.0351,86562,-0.2181
4904,环肚         ,20020118,45.8,45.8,45.3,45.3,715,32552,-1.0917,0.0378,85617,-1.0977
4904,环肚         ,20020121,45,45.5,44.4,45.4,1421,63806,0.2208,0.0752,85806,0.2205
4904,环肚         ,20020122,44.6,45.2,44.5,44.5,762,34020,-1.9824,0.0403,84105,-2.0023
4904,环肚         ,20020123,44,45.3,43.6,45,1071,47957,1.1236,0.0567,85050,1.1173
4904,环肚         ,20020124,45,45,44.2,44.8,522,23285,-0.4444,0.0276,84672,-0.4454
4904,环肚         ,20020125,44.5,45,44,44.9,1846,82091,0.2232,0.0977,84861,0.223
4904,环肚         ,20020128,44.8,44.8,43.7,44,1704,75272,-2.0045,0.0902,83160,-2.0248
4904,环肚         ,20020129,44,44,41,41,1320,56032,-6.8182,0.0698,77490,-7.0618
4904,环肚         ,20020130,40.5,40.8,40.1,40.5,1083,43663,-1.2195,0.0573,76545,-1.227
4904,环肚         ,20020131,40.5,43,40.5,43,1202,49776,6.1728,0.0636,81270,5.9898
4904,环肚         ,20020201,41.8,43,41.8,43,945,40237,0,0.05,81270,0
4904,环肚         ,20020204,42.7,43,42.2,42.9,1051,44922,-0.2326,0.0556,81081,-0.2328
4904,环肚         ,20020205,42.4,42.6,41.6,42.5,657,27817,-0.9324,0.0348,80325,-0.9368
4904,环肚         ,20020206,42.5,43,42.3,43,2474,105804,1.1765,0.1309,81270,1.1696
4904,环肚         ,20020218,43,43.5,42.1,43,501,21473,0,0.0265,81270,0
4904,环肚         ,20020219,43,43,42.1,42.8,344,14722,-0.4651,0.0182,80892,-0.4662
4904,环肚         ,20020220,42.5,42.5,41.8,42.5,439,18512,-0.7009,0.0232,80325,-0.7034
4904,环肚         ,20020221,42.3,42.5,41,42,686,28600,-1.1765,0.0363,79380,-1.1834
4904,环肚         ,20020222,41.5,42,41,42,994,41404,0,0.0526,79380,0
4904,环肚         ,20020225,41.7,42.1,40.2,40.9,1026,41970,-2.619,0.0543,77301,-2.654
4904,环肚         ,20020226,40.8,41.1,40,40.3,644,25984,-1.467,0.0341,76167,-1.4779
4904,环肚         ,20020227,41,41,40.2,40.9,1547,62569,1.4888,0.0819,77301,1.4779
4904,环肚         ,20020301,40.8,40.8,40.3,40.5,468,18912,-0.978,0.0248,76545,-0.9828
4904,环肚         ,20020304,41,41.8,40.4,41,2042,82948,1.2346,0.108,77490,1.227
4904,环肚         ,20020305,41.3,41.5,40.5,40.9,654,26797,-0.2439,0.0346,77301,-0.2442
4904,环肚         ,20020306,41,41.3,40,41.3,1119,45590,0.978,0.0592,78057,0.9732
4904,环肚         ,20020307,41.2,41.2,40.5,40.9,922,37584,-0.9685,0.0488,77301,-0.9732
4904,环肚         ,20020308,40.8,40.8,40.2,40.8,745,30173,-0.2445,0.0394,77112,-0.2448
4904,环肚         ,20020311,40.8,40.8,40.4,40.7,1079,43806,-0.2451,0.0571,76923,-0.2454
4904,环肚         ,20020312,40.6,40.6,40.1,40.5,833,33584,-0.4914,0.0441,76545,-0.4926
4904,环肚         ,20020313,40,40.5,40,40.1,676,27188,-0.9877,0.0358,75789,-0.9926
4904,环肚         ,20020314,39.9,40,39.5,39.8,677,26873,-0.7481,0.0358,75222,-0.7509
4904,环肚         ,20020315,39.9,40.4,39.7,40,484,19359,0.5025,0.0256,75600,0.5013
4904,环肚         ,20020318,40,40,38.5,39.4,1512,58996,-1.5,0.08,74466,-1.5114
4904,环肚         ,20020319,39.3,39.3,38.6,39.3,562,21949,-0.2538,0.0297,74277,-0.2541
4904,环肚         ,20020320,38.6,40,38.4,40,1834,71343,1.7812,0.097,75600,1.7655
4904,环肚         ,20020321,39.5,39.9,39,39.7,519,20538,-0.75,0.0275,75033,-0.7528
4904,环肚         ,20020322,39.2,40,39.2,40,801,31879,0.7557,0.0424,75600,0.7528
4904,环肚         ,20020325,39.2,39.8,39.2,39.5,672,26537,-1.25,0.0356,74655,-1.2579
4904,环肚         ,20020326,39.5,39.5,39.2,39.5,352,13887,0,0.0186,74655,0
4904,环肚         ,20020327,39.5,41.2,39.5,41,2536,102903,3.7975,0.1342,77490,3.7271
4904,环肚         ,20020328,41,41.1,40.2,41,1314,53446,0,0.0695,77490,0
4904,环肚         ,20020329,41,42.1,40.5,42.1,3740,154844,2.6829,0.1979,79569,2.6476
4904,环肚         ,20020401,41.5,42,41,42,2058,85762,-0.2375,0.1089,79380,-0.2378
4904,环肚         ,20020402,42,42.7,41.7,42.5,2714,114846,1.1905,0.1436,80325,1.1834
4904,环肚         ,20020403,42.1,42.1,41.5,41.9,1489,62445,-1.4118,0.0788,79191,-1.4218
4904,环肚         ,20020404,41.5,41.8,41.1,41.8,2342,97252,-0.2387,0.1239,79002,-0.2389
4904,环肚         ,20020408,41.5,41.9,41.2,41.9,1043,43425,0.2392,0.0552,79191,0.2389
4904,环肚         ,20020409,41.9,41.9,41.3,41.8,1077,44836,-0.2387,0.057,79002,-0.2389
4904,环肚         ,20020410,41.4,41.9,41,41.9,1664,68948,0.2392,0.088,79191,0.2389
4904,环肚         ,20020411,41.8,41.9,41.2,41.7,1034,43060,-0.4773,0.0547,78813,-0.4785
4904,环肚         ,20020412,41.5,42.2,41.2,42.2,2065,86392,1.199,0.1093,79758,1.1919
4904,环肚         ,20020415,42.4,42.4,41.3,42,1179,49186,-0.4739,0.0624,79380,-0.4751
4904,环肚         ,20020416,42,42,41.1,41.8,1007,41745,-0.4762,0.0533,79002,-0.4773
4904,环肚         ,20020417,41.8,41.8,41.1,41.7,1209,49978,-0.2392,0.064,78813,-0.2395
4904,环肚         ,20020418,41.5,41.5,41,41.4,1250,51466,-0.7194,0.0661,78246,-0.722
4904,环肚         ,20020419,41.3,44.2,40.8,44.2,4102,174344,6.7633,0.217,83538,6.5444
4904,环肚         ,20020422,44.3,44.4,43.2,43.5,3299,144836,-1.5837,0.1746,82215,-1.5964
4904,环肚         ,20020423,43.6,43.9,42.6,43.3,1738,74962,-0.4598,0.092,81837,-0.4608
4904,环肚         ,20020424,43.5,43.6,42.8,43.5,1936,83747,0.4619,0.1024,82215,0.4608
4904,环肚         ,20020425,43.3,43.3,42.1,42.6,1417,60244,-2.069,0.075,80514,-2.0907
4904,环肚         ,20020426,42.4,42.4,41.4,41.9,941,39322,-1.6432,0.0498,79191,-1.6568
4904,环肚         ,20020429,41.5,41.6,41.1,41.4,726,29953,-1.1933,0.0384,78246,-1.2005
4904,环肚         ,20020430,41.4,42.6,41.4,42.1,2478,104126,1.6908,0.1311,79569,1.6767
4904,环肚         ,20020502,42.5,42.8,41.5,41.9,1424,60066,-0.4751,0.0753,79191,-0.4762
4904,环肚         ,20020503,41.5,41.5,40.8,41.3,1160,47745,-1.432,0.0614,78057,-1.4423
4904,环肚         ,20020506,41,41.2,40.1,40.9,675,27454,-0.9685,0.0357,77301,-0.9732
4904,环肚         ,20020507,40.9,42.1,40.6,41.1,1790,74046,0.489,0.0947,77679,0.4878
4904,环肚         ,20020508,41.6,42.5,41.1,42.3,3113,130140,2.9197,0.1647,79947,2.8779
4904,环肚         ,20020509,43,43,41.6,41.6,1328,56286,-1.6548,0.0703,78624,-1.6687
4904,环肚         ,20020510,41.4,42,41.4,42,748,31254,0.9615,0.0396,79380,0.9569
4904,环肚         ,20020513,41.5,41.8,41.4,41.5,480,19956,-1.1905,0.0254,78435,-1.1976
4904,环肚         ,20020514,41.7,41.7,41.1,41.4,581,24032,-0.241,0.0307,78246,-0.2413
4904,环肚         ,20020515,41.7,41.8,41.2,41.8,556,23150,0.9662,0.0294,79002,0.9615
4904,环肚         ,20020516,41.7,41.9,41.3,41.3,672,28031,-1.1962,0.0356,78057,-1.2034
4904,环肚         ,20020517,41.4,41.5,41.1,41.4,494,20413,0.2421,0.0261,78246,0.2418
4904,环肚         ,20020520,41.4,41.4,40.3,40.8,453,18446,-1.4493,0.024,77112,-1.4599
4904,环肚         ,20020521,40,40.7,39.5,40,649,25986,-1.9608,0.0343,75600,-1.9803
4904,环肚         ,20020522,39.9,40.4,39.8,40.2,515,20654,0.5,0.0272,75978,0.4988
4904,环肚         ,20020523,39.5,40,39.5,39.6,943,37416,-1.4925,0.0499,74844,-1.5038
4904,环肚         ,20020524,39.8,40.5,39.6,40.3,1836,73285,1.7677,0.0971,76167,1.7522
4904,环肚         ,20020527,40.2,40.2,39.7,39.9,993,39656,-0.9926,0.0525,75411,-0.9975
4904,环肚         ,20020528,40.1,40.3,39.5,39.5,438,17436,-1.0025,0.0232,74655,-1.0076
4904,环肚         ,20020529,39.5,41.7,39.5,41.7,2533,102747,5.5696,0.134,78813,5.42
4904,环肚         ,20020530,41.9,42,40.9,41.7,3294,136525,0,0.1743,78813,0
4904,环肚         ,20020531,41.6,42.6,41.5,41.8,3536,148683,0.2398,0.1871,79002,0.2395
4904,环肚         ,20020603,41.8,41.8,40.8,41.4,1320,54361,-0.9569,0.0698,78246,-0.9615
4904,环肚         ,20020604,40.9,41,40.4,40.5,1007,40935,-2.1739,0.0533,76545,-2.1979
