證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y1100  ,水泥窯業     ,19900104,  832.64,  884.65,  832.64,  884.65,    65970,     9780000,   6.2464,   2.2337,      445123,   6.0591
Y1100  ,水泥窯業     ,19900105,  884.65,  894.23,  884.65,  894.23,    73929,    11286000,   1.0829,   2.5032,      449944,   1.0771
Y1100  ,水泥窯業     ,19900106,  894.23,  894.23,  888.49,  888.49,    40949,     6426000,  -0.6419,   1.3865,      447058,  -0.6440
Y1100  ,水泥窯業     ,19900108,  888.49,  889.99,  888.49,  889.99,    53413,     8524000,   0.1688,   1.8085,      447812,   0.1687
Y1100  ,水泥窯業     ,19900109,  889.99,  889.99,  868.75,  868.75,    58169,     8933000,  -2.3865,   1.9696,      437126,  -2.4155
Y1100  ,水泥窯業     ,19900110,  868.75,  879.25,  868.75,  879.25,    57489,     9254000,   1.2086,   1.9466,      442406,   1.2014
Y1100  ,水泥窯業     ,19900111,  879.25,  900.32,  879.25,  900.32,    70837,    11212000,   2.3964,   2.3985,      453007,   2.3681
Y1100  ,水泥窯業     ,19900112,  900.32,  946.26,  900.32,  946.26,    97739,    15401000,   5.1026,   3.3094,      476122,   4.9767
Y1100  ,水泥窯業     ,19900113,  946.26,  946.26,  924.27,  924.27,    53686,     8735000,  -2.3239,   1.8178,      465060,  -2.3513
Y1100  ,水泥窯業     ,19900115,  924.27,  955.23,  924.27,  955.23,    69123,    11429000,   3.3497,   2.3405,      480639,   3.2948
Y1100  ,水泥窯業     ,19900116,  955.23,  961.21,  955.23,  961.21,    89273,    12571000,   0.6260,   3.0228,      483645,   0.6241
Y1100  ,水泥窯業     ,19900117,  961.21,  961.21,  945.39,  945.39,    65024,     9130000,  -1.6458,   2.2017,      475685,  -1.6595
Y1100  ,水泥窯業     ,19900118,  945.39,  952.44,  945.39,  952.44,    46162,     7272000,   0.7457,   1.5630,      479233,   0.7430
Y1100  ,水泥窯業     ,19900119,  952.44,  978.96,  952.44,  978.96,    67731,    11326000,   2.7844,   2.2934,      492579,   2.7464
Y1100  ,水泥窯業     ,19900122,  978.96, 1028.53,  978.96, 1028.53,    90945,    14522000,   5.0635,   3.0794,      517522,   4.9395
