證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y2800  ,金融類       ,19900104, 2065.51, 2065.51, 2055.13, 2055.13,    63532,    28679000,  -0.5025,   1.7134,     2248520,  -0.5038
Y2800  ,金融類       ,19900105, 2055.13, 2055.13, 2041.73, 2041.73,    47300,    20885000,  -0.6520,   1.2756,     2233852,  -0.6542
Y2800  ,金融類       ,19900106, 2041.73, 2089.99, 2041.73, 2089.99,    38283,    17941000,   2.3637,   1.0325,     2286657,   2.3362
Y2800  ,金融類       ,19900108, 2089.99, 2095.67, 2089.99, 2095.67,    48393,    23664000,   0.2718,   1.3051,     2292874,   0.2714
Y2800  ,金融類       ,19900109, 2095.67, 2116.36, 2095.67, 2116.36,    51480,    25976000,   0.9873,   1.3884,     2315507,   0.9824
Y2800  ,金融類       ,19900110, 2116.36, 2128.21, 2116.36, 2128.21,    50690,    24451000,   0.5599,   1.3671,     2328471,   0.5584
Y2800  ,金融類       ,19900111, 2128.21, 2220.98, 2128.21, 2220.98,    79523,    37304000,   4.3591,   2.1447,     2429972,   4.2667
Y2800  ,金融類       ,19900112, 2220.98, 2363.59, 2220.98, 2363.59,    67794,    35792000,   6.4210,   1.8283,     2585997,   6.2233
Y2800  ,金融類       ,19900113, 2363.59, 2363.59, 2357.72, 2357.72,    69151,    32174000,  -0.2484,   1.8649,     2579574,  -0.2487
Y2800  ,金融類       ,19900115, 2357.72, 2455.71, 2357.72, 2455.71,    85283,    40818000,   4.1561,   2.3000,     2686783,   4.0721
Y2800  ,金融類       ,19900116, 2455.71, 2455.71, 2434.05, 2434.05,    82261,    38405000,  -0.8820,   2.2185,     2663087,  -0.8859
Y2800  ,金融類       ,19900117, 2434.05, 2437.33, 2434.05, 2437.33,    75209,    33966000,   0.1348,   2.0283,     2666684,   0.1347
Y2800  ,金融類       ,19900118, 2437.33, 2578.78, 2437.33, 2578.78,    97841,    51129000,   5.8035,   2.6387,     2821442,   5.6413
Y2800  ,金融類       ,19900119, 2578.78, 2623.65, 2578.78, 2623.65,   104512,    53521000,   1.7400,   2.8186,     2870530,   1.7250
Y2800  ,金融類       ,19900122, 2623.65, 2637.20, 2623.65, 2637.20,    83237,    44973000,   0.5165,   2.2448,     2885354,   0.5151
Y2800  ,金融類       ,19900123, 2637.20, 2739.79, 2637.20, 2739.79,    74485,    41376000,   3.8901,   2.0088,     2997596,   3.8164
Y2800  ,金融類       ,19900131, 2739.79, 2805.90, 2739.79, 2805.90,    71909,    38790000,   2.4130,   1.9393,     3069931,   2.3843
Y2800  ,金融類       ,19900201, 2805.90, 2805.90, 2797.37, 2797.37,    71375,    38122000,  -0.3040,   1.9249,     3060603,  -0.3045
Y2800  ,金融類       ,19900202, 2797.37, 2798.74, 2797.37, 2798.74,    58024,    31349000,   0.0490,   1.5649,     3062097,   0.0490
Y2800  ,金融類       ,19900203, 2798.74, 2798.74, 2723.81, 2723.81,    44818,    24236000,  -2.6773,   1.2087,     2980114,  -2.7138
Y2800  ,金融類       ,19900205, 2723.81, 2858.59, 2723.81, 2858.59,    73070,    43773000,   4.9482,   1.9706,     3127580,   4.8297
Y2800  ,金融類       ,19900206, 2858.59, 2858.59, 2828.00, 2828.00,    58365,    34090000,  -1.0701,   1.5740,     3094114,  -1.0759
Y2800  ,金融類       ,19900207, 2828.00, 2828.00, 2804.61, 2804.61,    52785,    29495000,  -0.8271,   1.4236,     3068521,  -0.8305
Y2800  ,金融類       ,19900208, 2804.61, 2804.61, 2784.34, 2784.34,    45556,    26923000,  -0.7227,   1.2286,     3046345,  -0.7254
Y2800  ,金融類       ,19900209, 2784.34, 2835.79, 2784.34, 2835.79,    45414,    27616000,   1.8478,   1.2248,     3102630,   1.8310
Y2800  ,金融類       ,19900210, 2835.79, 2840.24, 2835.79, 2840.24,    44562,    23317000,   0.1569,   1.2018,     3107502,   0.1568
Y2800  ,金融類       ,19900212, 2840.24, 2840.24, 2760.09, 2760.09,    47519,    26552000,  -2.8219,   1.2815,     3019812,  -2.8625
Y2800  ,金融類       ,19900213, 2760.09, 2760.09, 2684.81, 2684.81,    41382,    23024000,  -2.7274,   1.1160,     2937442,  -2.7653
Y2800  ,金融類       ,19900214, 2684.81, 2722.64, 2684.81, 2722.64,    53199,    28585000,   1.4090,   1.4347,     2978839,   1.3992
Y2800  ,金融類       ,19900215, 2722.64, 2722.64, 2648.31, 2648.31,    32416,    17352000,  -2.7301,   0.8742,     2897514,  -2.7680
Y2800  ,金融類       ,19900216, 2648.31, 2648.31, 2562.18, 2562.18,    40257,    21897000,  -3.2523,   1.0857,     2803275,  -3.3063
