證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y1200  ,食品類       ,19900104,  803.40,  840.02,  803.40,  840.02,    72811,     9188000,   4.5581,   3.4564,      244441,   4.4573
Y1200  ,食品類       ,19900105,  840.02,  854.41,  840.02,  854.41,    93779,    11259000,   1.7131,   4.4518,      248624,   1.6985
Y1200  ,食品類       ,19900106,  854.41,  854.41,  850.13,  850.13,    56045,     6977000,  -0.5009,   2.6605,      247377,  -0.5022
Y1200  ,食品類       ,19900108,  850.13,  850.70,  850.13,  850.70,    70997,     8983000,   0.0670,   3.3703,      247539,   0.0670
Y1200  ,食品類       ,19900109,  850.70,  850.70,  825.27,  825.27,    78299,    10225000,  -2.9893,   3.7170,      240139,  -3.0349
Y1200  ,食品類       ,19900110,  825.27,  825.27,  823.75,  823.75,    68643,     8742000,  -0.1842,   3.2586,      239697,  -0.1844
Y1200  ,食品類       ,19900111,  823.75,  833.46,  823.75,  833.46,    67907,     9098000,   1.1788,   3.2236,      242526,   1.1719
Y1200  ,食品類       ,19900112,  833.46,  872.24,  833.46,  872.24,   114469,    14736000,   4.6529,   5.4340,      253808,   4.5479
Y1200  ,食品類       ,19900113,  872.24,  872.24,  864.00,  864.00,    95085,    10762000,  -0.9447,   4.5138,      251403,  -0.9492
Y1200  ,食品類       ,19900115,  864.00,  869.62,  864.00,  869.62,    87275,    11105000,   0.6505,   4.1431,      253045,   0.6484
Y1200  ,食品類       ,19900116,  869.62,  886.09,  869.62,  886.09,    96854,    13548000,   1.8939,   4.5978,      257853,   1.8762
Y1200  ,食品類       ,19900117,  886.09,  886.09,  872.66,  872.66,    95212,    13035000,  -1.5156,   4.5198,      253930,  -1.5273
Y1200  ,食品類       ,19900118,  872.66,  872.66,  867.72,  867.72,    62948,     8482000,  -0.5661,   2.9882,      252504,  -0.5677
Y1200  ,食品類       ,19900119,  867.72,  880.86,  867.72,  880.86,    82755,    11093000,   1.5143,   3.9285,      256323,   1.5030
Y1200  ,食品類       ,19900122,  880.86,  921.89,  880.86,  921.89,    98848,    12690000,   4.6579,   4.6924,      268257,   4.5527
Y1200  ,食品類       ,19900123,  921.89,  921.89,  904.07,  904.07,    90981,    10619000,  -1.9330,   4.3190,      263070,  -1.9519
Y1200  ,食品類       ,19900131,  904.07,  904.07,  902.96,  902.96,    65691,     8614000,  -0.1228,   3.1184,      262760,  -0.1229
Y1200  ,食品類       ,19900201,  902.96,  915.78,  902.96,  915.78,    80926,    11661000,   1.4198,   3.8417,      266505,   1.4098
Y1200  ,食品類       ,19900202,  915.78,  915.78,  915.28,  915.28,    77296,     9503000,  -0.0546,   3.6693,      266347,  -0.0546
Y1200  ,食品類       ,19900203,  915.28,  915.28,  896.75,  896.75,    67752,     8263000,  -2.0245,   3.2163,      260945,  -2.0453
