證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y2500  ,營建         ,19900104,  722.93,  746.50,  722.93,  746.50,    35367,     4651000,   3.2603,   2.4516,      195720,   3.2083
Y2500  ,營建         ,19900105,  746.50,  746.68,  746.50,  746.68,    33465,     4439000,   0.0241,   2.3197,      195767,   0.0241
Y2500  ,營建         ,19900106,  746.68,  755.53,  746.68,  755.53,    23852,     3369000,   1.1852,   1.6534,      198087,   1.1783
Y2500  ,營建         ,19900108,  755.53,  756.77,  755.53,  756.77,    27767,     3938000,   0.1641,   1.9248,      198412,   0.1640
Y2500  ,營建         ,19900109,  756.77,  756.77,  723.90,  723.90,    31725,     4266000,  -4.3435,   2.1991,      189794,  -4.4406
Y2500  ,營建         ,19900110,  723.90,  723.90,  723.15,  723.15,    26827,     3962000,  -0.1036,   1.8596,      189598,  -0.1037
Y2500  ,營建         ,19900111,  723.15,  746.38,  723.15,  746.38,    41745,     5806000,   3.2123,   2.8937,      195687,   3.1618
Y2500  ,營建         ,19900112,  746.38,  779.66,  746.38,  779.66,    54397,     7499000,   4.4589,   3.7707,      204413,   4.3623
Y2500  ,營建         ,19900113,  779.66,  779.66,  766.28,  766.28,    34918,     5057000,  -1.7161,   2.4205,      200904,  -1.7310
Y2500  ,營建         ,19900115,  766.28,  774.61,  766.28,  774.61,    30347,     4421000,   1.0871,   2.1036,      203088,   1.0812
Y2500  ,營建         ,19900116,  774.61,  774.61,  772.01,  772.01,    26536,     3749000,  -0.3357,   1.8394,      202407,  -0.3362
Y2500  ,營建         ,19900117,  772.01,  782.43,  772.01,  782.43,    48295,     6818000,   1.3497,   3.3477,      205139,   1.3407
Y2500  ,營建         ,19900118,  782.43,  782.43,  779.96,  779.96,    25415,     3759000,  -0.3157,   1.7617,      204492,  -0.3162
Y2500  ,營建         ,19900119,  779.96,  801.21,  779.96,  801.21,    47099,     6866000,   2.7245,   3.2648,      210062,   2.6880
Y2500  ,營建         ,19900122,  801.21,  850.00,  801.21,  850.00,    46302,     7069000,   6.0895,   3.2096,      222855,   5.9113
Y2500  ,營建         ,19900123,  850.00,  850.00,  823.60,  823.60,    38560,     5774000,  -3.1059,   2.6729,      215933,  -3.1551
Y2500  ,營建         ,19900131,  823.60,  823.60,  810.46,  810.46,    24917,     3693000,  -1.5954,   1.7272,      212489,  -1.6083
Y2500  ,營建         ,19900201,  810.46,  817.29,  810.46,  817.29,    31338,     4905000,   0.8427,   2.1723,      214279,   0.8392
