證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y1600  ,機電類       ,19900104,  717.53,  743.77,  717.53,  743.77,   112759,    14000282,   3.6570,   2.5630,      495144,   3.5917
Y1600  ,機電類       ,19900105,  743.77,  753.15,  743.77,  753.15,   138244,    16732278,   1.2611,   3.1422,      501388,   1.2533
Y1600  ,機電類       ,19900106,  753.15,  753.15,  744.81,  744.81,    72610,     8827140,  -1.1073,   1.6504,      495836,  -1.1135
Y1600  ,機電類       ,19900108,  744.81,  750.16,  744.81,  750.16,   103517,    12454143,   0.7183,   2.3529,      499398,   0.7157
Y1600  ,機電類       ,19900109,  750.16,  750.16,  726.68,  726.68,   125216,    15965136,  -3.1300,   2.8461,      483767,  -3.1800
Y1600  ,機電類       ,19900110,  726.68,  736.47,  726.68,  736.47,   108340,    14486140,   1.3472,   2.4625,      490289,   1.3382
Y1600  ,機電類       ,19900111,  736.47,  747.45,  736.47,  747.45,   125479,    17369283,   1.4909,   2.8521,      497599,   1.4799
Y1600  ,機電類       ,19900112,  747.45,  766.12,  747.45,  766.12,   153808,    20206000,   2.4978,   3.4960,      510022,   2.4671
Y1600  ,機電類       ,19900113,  766.12,  766.12,  764.16,  764.16,   103718,    13417284,  -0.2558,   2.3575,      508719,  -0.2562
Y1600  ,機電類       ,19900115,  764.16,  778.20,  764.16,  778.20,   118925,    15418288,   1.8373,   2.7031,      518067,   1.8206
Y1600  ,機電類       ,19900116,  778.20,  795.48,  778.20,  795.48,   184603,    21859286,   2.2205,   4.1959,      529569,   2.1962
Y1600  ,機電類       ,19900117,  795.48,  795.48,  779.99,  779.99,   101448,    12184143,  -1.9473,   2.3059,      519261,  -1.9665
Y1600  ,機電類       ,19900118,  779.99,  781.75,  779.99,  781.75,    75466,     9551144,   0.2256,   1.7153,      520430,   0.2254
Y1600  ,機電類       ,19900119,  781.75,  807.45,  781.75,  807.45,   153938,    19717435,   3.2875,   3.4989,      537540,   3.2346
Y1600  ,機電類       ,19900122,  807.45,  843.22,  807.45,  843.22,   138017,    17919298,   4.4300,   3.1371,      561351,   4.3347
Y1600  ,機電類       ,19900123,  843.22,  843.22,  832.46,  832.46,   162264,    18641143,  -1.2761,   3.6882,      554186,  -1.2843
Y1600  ,機電類       ,19900131,  832.46,  832.46,  822.85,  822.85,   105150,    12297000,  -1.1544,   2.3900,      547789,  -1.1611
Y1600  ,機電類       ,19900201,  822.85,  829.62,  822.85,  829.62,   103999,    12223454,   0.8228,   2.3480,      556678,   0.8194
Y1600  ,機電類       ,19900202,  829.62,  846.66,  829.62,  846.66,   127832,    14869307,   2.0540,   2.8861,      568113,   2.0331
Y1600  ,機電類       ,19900203,  846.66,  846.66,  836.46,  836.46,   140473,    17272354,  -1.2047,   3.1715,      561266,  -1.2120
