證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y1900  ,造紙類       ,19900104,  524.31,  537.14,  524.31,  537.14,    32746,     2566000,   2.4470,   1.6977,      170058,   2.4176
Y1900  ,造紙類       ,19900105,  537.14,  543.26,  537.14,  543.26,    48904,     3665000,   1.1394,   2.5353,      171994,   1.1329
Y1900  ,造紙類       ,19900106,  543.26,  543.26,  541.83,  541.83,    37943,     2945000,  -0.2632,   1.9671,      171541,  -0.2636
Y1900  ,造紙類       ,19900108,  541.83,  541.83,  538.32,  538.32,    29784,     2312000,  -0.6478,   1.5441,      170430,  -0.6499
Y1900  ,造紙類       ,19900109,  538.32,  538.32,  515.11,  515.11,    31250,     2253000,  -4.3116,   1.6201,      163081,  -4.4073
Y1900  ,造紙類       ,19900110,  515.11,  515.11,  514.77,  514.77,    22009,     1681000,  -0.0660,   1.1410,      162974,  -0.0660
Y1900  ,造紙類       ,19900111,  514.77,  518.95,  514.77,  518.95,    21880,     1688000,   0.8120,   1.1343,      164298,   0.8087
Y1900  ,造紙類       ,19900112,  518.95,  525.14,  518.95,  525.14,    33535,     2552000,   1.1928,   1.7386,      166258,   1.1857
Y1900  ,造紙類       ,19900113,  525.14,  529.50,  525.14,  529.50,    28236,     2027000,   0.8303,   1.4638,      167637,   0.8268
Y1900  ,造紙類       ,19900115,  529.50,  530.15,  529.50,  530.15,    27267,     2058000,   0.1228,   1.4136,      167845,   0.1227
Y1900  ,造紙類       ,19900116,  530.15,  549.22,  530.15,  549.22,    74756,     5504000,   3.5971,   3.8756,      173882,   3.5339
Y1900  ,造紙類       ,19900117,  549.22,  549.22,  530.43,  530.43,    39739,     3029000,  -3.4212,   2.0602,      167932,  -3.4811
Y1900  ,造紙類       ,19900118,  530.43,  530.43,  529.15,  529.15,    22903,     1855000,  -0.2413,   1.1874,      167528,  -0.2416
Y1900  ,造紙類       ,19900119,  529.15,  541.40,  529.15,  541.40,    37787,     2966000,   2.3150,   1.9590,      171406,   2.2886
Y1900  ,造紙類       ,19900122,  541.40,  572.77,  541.40,  572.77,    52906,     4276000,   5.7942,   2.7428,      181337,   5.6326
Y1900  ,造紙類       ,19900123,  572.77,  573.04,  572.77,  573.04,    68744,     5108000,   0.0471,   3.5639,      181423,   0.0471
Y1900  ,造紙類       ,19900131,  573.04,  573.04,  567.83,  567.83,    40179,     2931000,  -0.9092,   2.0830,      179772,  -0.9133
Y1900  ,造紙類       ,19900201,  567.83,  567.83,  566.23,  566.23,    31073,     2333000,  -0.2818,   1.6109,      179266,  -0.2822
Y1900  ,造紙類       ,19900202,  566.23,  588.73,  566.23,  588.73,    54883,     4320000,   3.9737,   2.8453,      186388,   3.8967
Y1900  ,造紙類       ,19900203,  588.73,  588.73,  566.21,  566.21,    47486,     3549000,  -3.8252,   2.4618,      179259,  -3.9003
Y1900  ,造紙類       ,19900205,  566.21,  579.88,  566.21,  579.88,    37055,     2909000,   2.4143,   1.9210,      183587,   2.3856
Y1900  ,造紙類       ,19900206,  579.88,  584.66,  579.88,  584.66,    41145,     3473000,   0.8243,   2.1331,      185101,   0.8209
Y1900  ,造紙類       ,19900207,  584.66,  584.66,  577.47,  577.47,    29886,     2549000,  -1.2298,   1.5494,      182825,  -1.2374
Y1900  ,造紙類       ,19900208,  577.47,  577.47,  567.87,  567.87,    20066,     1619000,  -1.6624,   1.0403,      179786,  -1.6764
Y1900  ,造紙類       ,19900209,  567.87,  589.45,  567.87,  589.45,    48782,     4120000,   3.8002,   2.5290,      186616,   3.7297
Y1900  ,造紙類       ,19900210,  589.45,  599.07,  589.45,  599.07,    74718,     6083000,   1.6320,   3.8736,      189663,   1.6189
Y1900  ,造紙類       ,19900212,  599.07,  602.30,  599.07,  602.30,    56806,     4746000,   0.5392,   2.9450,      190687,   0.5377
Y1900  ,造紙類       ,19900213,  602.30,  602.30,  595.99,  595.99,    62031,     4989000,  -1.0477,   3.2159,      188689,  -1.0532
Y1900  ,造紙類       ,19900214,  595.99,  595.99,  593.67,  593.67,    38139,     3081000,  -0.3893,   1.9772,      187954,  -0.3900
Y1900  ,造紙類       ,19900215,  593.67,  593.67,  588.97,  588.97,    28086,     2267000,  -0.7917,   1.4561,      186465,  -0.7948
Y1900  ,造紙類       ,19900216,  588.97,  588.97,  570.56,  570.56,    24373,     1927000,  -3.1258,   1.2636,      180637,  -3.1757
Y1900  ,造紙類       ,19900217,  570.56,  577.01,  570.56,  577.01,    18496,     1502000,   1.1305,   0.9589,      182679,   1.1241
Y1900  ,造紙類       ,19900219,  577.01,  577.01,  575.26,  575.26,    17399,     1424000,  -0.3033,   0.9020,      182124,  -0.3037
Y1900  ,造紙類       ,19900220,  575.26,  587.76,  575.26,  587.76,    30027,     2390000,   2.1729,   1.5567,      186084,   2.1497
Y1900  ,造紙類       ,19900221,  587.76,  596.55,  587.76,  596.55,    67488,     5473000,   1.4955,   3.4988,      188865,   1.4844
Y1900  ,造紙類       ,19900222,  596.55,  596.55,  587.64,  587.64,    35725,     2848000,  -1.4936,   1.8521,      186045,  -1.5049
Y1900  ,造紙類       ,19900223,  587.64,  591.49,  587.64,  591.49,    18937,     1551000,   0.6552,   0.9818,      187263,   0.6530
Y1900  ,造紙類       ,19900224,  591.49,  591.49,  588.07,  588.07,    17299,     1571000,  -0.5782,   0.8968,      186179,  -0.5799
Y1900  ,造紙類       ,19900226,  588.07,  588.07,  554.66,  554.66,    27674,     2152000,  -5.6813,   1.4347,      175602,  -5.8491
Y1900  ,造紙類       ,19900227,  554.66,  568.67,  554.66,  568.67,    23057,     1895000,   2.5259,   1.1953,      180037,   2.4945
Y1900  ,造紙類       ,19900228,  568.67,  584.17,  568.67,  584.17,    29315,     2537000,   2.7257,   1.5198,      184946,   2.6892
Y1900  ,造紙類       ,19900301,  584.17,  584.17,  570.14,  570.14,    25140,     2067000,  -2.4017,   1.3033,      180504,  -2.4310
Y1900  ,造紙類       ,19900302,  570.14,  575.88,  570.14,  575.88,    35743,     2843000,   1.0068,   1.8530,      182321,   1.0017
Y1900  ,造紙類       ,19900303,  575.88,  575.88,  561.05,  561.05,    21838,     1706000,  -2.5752,   1.1321,      177628,  -2.6089
Y1900  ,造紙類       ,19900305,  561.05,  561.05,  537.40,  537.40,    25500,     1910000,  -4.2153,   1.3220,      170140,  -4.3067
Y1900  ,造紙類       ,19900306,  537.40,  559.84,  537.40,  559.84,    24484,     1926000,   4.1757,   1.2693,      177243,   4.0908
Y1900  ,造紙類       ,19900307,  559.84,  559.84,  552.31,  552.31,    23076,     1821000,  -1.3450,   1.1963,      174859,  -1.3542
Y1900  ,造紙類       ,19900308,  552.31,  555.14,  552.31,  555.14,    14250,     1150000,   0.5124,   0.7388,      175756,   0.5111
Y1900  ,造紙類       ,19900309,  555.14,  557.48,  555.14,  557.48,    19264,     1860000,   0.4215,   0.9987,      176496,   0.4206
Y1900  ,造紙類       ,19900310,  557.48,  581.50,  557.48,  581.50,    46420,     3815000,   4.3087,   2.4066,      184102,   4.2184
Y1900  ,造紙類       ,19900312,  581.50,  588.73,  581.50,  588.73,    86373,     7288000,   1.2433,   4.4778,      186391,   1.2357
Y1900  ,造紙類       ,19900313,  588.73,  588.73,  587.41,  587.41,    49160,     4192000,  -0.2242,   2.5486,      185970,  -0.2245
Y1900  ,造紙類       ,19900314,  587.41,  598.94,  587.41,  598.94,    91506,     7901000,   1.9629,   4.7440,      189621,   1.9438
Y1900  ,造紙類       ,19900315,  598.94,  614.53,  598.94,  614.53,   100657,     8836000,   2.6029,   5.2184,      194557,   2.5696
Y1900  ,造紙類       ,19900316,  614.53,  614.53,  588.82,  588.82,   130885,    10864000,  -4.1837,   6.7855,      186419,  -4.2737
Y1900  ,造紙類       ,19900317,  588.82,  589.97,  588.82,  589.97,    70607,     5889000,   0.1953,   3.6605,      186783,   0.1951
Y1900  ,造紙類       ,19900319,  589.97,  589.97,  577.84,  577.84,    59332,     4911000,  -2.0560,   3.0760,      182942,  -2.0775
Y1900  ,造紙類       ,19900320,  577.84,  584.69,  577.84,  584.69,    54763,     4960000,   1.1854,   2.8391,      185111,   1.1785
Y1900  ,造紙類       ,19900321,  584.69,  584.69,  569.76,  569.76,    53253,     4361000,  -2.5535,   2.7608,      180382,  -2.5867
Y1900  ,造紙類       ,19900322,  569.76,  569.76,  562.17,  562.17,    54720,     4341000,  -1.3321,   2.8369,      177982,  -1.3411
Y1900  ,造紙類       ,19900323,  562.17,  562.17,  548.27,  548.27,    48146,     3745000,  -2.4726,   2.4960,      173579,  -2.5036
Y1900  ,造紙類       ,19900324,  548.27,  548.27,  533.70,  533.70,    41315,     3234000,  -2.6574,   2.1419,      168966,  -2.6934
Y1900  ,造紙類       ,19900326,  533.70,  537.70,  533.70,  537.70,    39597,     3123000,   0.7495,   2.0528,      170233,   0.7467
Y1900  ,造紙類       ,19900327,  537.70,  537.70,  533.18,  533.18,    28806,     2338000,  -0.8406,   1.4934,      168802,  -0.8442
Y1900  ,造紙類       ,19900328,  533.18,  533.18,  530.67,  530.67,    25628,     2071000,  -0.4708,   1.3286,      168007,  -0.4719
Y1900  ,造紙類       ,19900330,  530.67,  537.86,  530.67,  537.86,    22732,     2235000,   1.3549,   1.1785,      170283,   1.3458
Y1900  ,造紙類       ,19900331,  537.86,  555.62,  537.86,  555.62,    36038,     3158000,   3.3020,   1.8683,      175907,   3.2486
Y1900  ,造紙類       ,19900402,  555.62,  560.49,  555.62,  560.49,    48064,     4017000,   0.8765,   2.4918,      177450,   0.8727
Y1900  ,造紙類       ,19900403,  560.49,  560.49,  554.07,  554.07,    32205,     2578000,  -1.1454,   1.6696,      175416,  -1.1520
Y1900  ,造紙類       ,19900404,  554.07,  554.07,  545.66,  545.66,    21918,     1807000,  -1.5179,   1.1363,      172754,  -1.5295
Y1900  ,造紙類       ,19900406,  545.66,  545.66,  527.77,  527.77,    31233,     2378000,  -3.2786,   1.6192,      167091,  -3.3335
Y1900  ,造紙類       ,19900407,  527.77,  527.77,  496.25,  496.25,    31251,     2191000,  -5.9723,   1.6201,      157110,  -6.1581
Y1900  ,造紙類       ,19900409,  496.25,  496.25,  486.27,  486.27,    26999,     1855000,  -2.0111,   1.3997,      153950,  -2.0316
Y1900  ,造紙類       ,19900410,  486.27,  486.27,  484.93,  484.93,    21524,     1676000,  -0.2756,   1.1159,      153525,  -0.2759
Y1900  ,造紙類       ,19900411,  484.93,  499.36,  484.93,  499.36,    33791,     2459000,   2.9757,   1.7518,      158096,   2.9323
Y1900  ,造紙類       ,19900412,  499.36,  519.74,  499.36,  519.74,    46435,     3455000,   4.0812,   2.4073,      164547,   4.0001
Y1900  ,造紙類       ,19900413,  519.74,  519.74,  496.27,  496.27,    45772,     3238000,  -4.5157,   2.3730,      157118,  -4.6209
Y1900  ,造紙類       ,19900414,  496.27,  496.27,  488.60,  488.60,    33075,     2304000,  -1.5455,   1.7147,      154688,  -1.5576
Y1900  ,造紙類       ,19900416,  488.60,  488.60,  484.64,  484.64,    29528,     2223000,  -0.8105,   1.5308,      153436,  -0.8138
Y1900  ,造紙類       ,19900417,  484.64,  484.64,  477.77,  477.77,    29697,     2208000,  -1.4175,   1.5396,      151261,  -1.4277
Y1900  ,造紙類       ,19900418,  477.77,  477.77,  461.79,  461.79,    25001,     1700000,  -3.3447,   1.2961,      146201,  -3.4019
