ÃÒ¨é¥N½X,Â²ºÙ,¦~¤ë¤é,¶}½L»ù,³Ì°ª»ù,³Ì§C»ù,¦¬½L»ù,¦¨¥æ¶q,¦¨¥æ­È,³ø¹S²v,¶gÂà²v,¥«­È,³ø¹S²v-Ln
Y1400  ,¯¼ÅÖ         ,19900104,  545.28,  569.71,  545.28,  569.71,   153211,    14038000,   4.4803,   1.9805,      621444,   4.3828
Y1400  ,¯¼ÅÖ         ,19900105,  569.71,  570.91,  569.71,  570.91,   201175,    18229000,   0.2106,   2.6005,      622747,   0.2104
Y1400  ,¯¼ÅÖ         ,19900106,  570.91,  570.91,  562.97,  562.97,   111949,    10736000,  -1.3908,   1.4471,      614087,  -1.4005
Y1400  ,¯¼ÅÖ         ,19900108,  562.97,  566.71,  562.97,  566.71,   190361,    15601000,   0.6643,   2.4607,      618168,   0.6621
Y1400  ,¯¼ÅÖ         ,19900109,  562.97,  562.97,  548.92,  548.92,   159170,    13704000,  -3.1392,   2.0575,      598761,  -3.1895
Y1400  ,¯¼ÅÖ         ,19900110,  548.92,  550.92,  548.92,  550.92,   134580,    13198000,   0.3644,   1.7397,      600945,   0.3637
Y1400  ,¯¼ÅÖ         ,19900111,  550.92,  556.95,  550.92,  556.95,   138884,    13750000,   1.0945,   1.7953,      607523,   1.0886
Y1400  ,¯¼ÅÖ         ,19900112,  556.95,  570.61,  556.95,  570.61,   190671,    16904000,   2.4526,   2.4647,      622421,   2.4230
Y1400  ,¯¼ÅÖ         ,19900113,  570.61,  574.42,  570.61,  574.42,   190289,    16448000,   0.6677,   2.4598,      626579,   0.6655
Y1400  ,¯¼ÅÖ         ,19900115,  574.42,  592.69,  574.42,  592.69,   257954,    22983000,   3.1806,   3.3345,      646511,   3.1311
Y1400  ,¯¼ÅÖ         ,19900116,  592.69,  600.56,  592.69,  600.56,   311629,    26890000,   1.3278,   4.0283,      655093,   1.3191
Y1400  ,¯¼ÅÖ         ,19900117,  600.56,  600.56,  590.74,  590.74,   225041,    18786000,  -1.6351,   2.9090,      644378,  -1.6487
Y1400  ,¯¼ÅÖ         ,19900118,  590.74,  592.90,  590.74,  592.90,   142271,    12971000,   0.3656,   1.8235,      647652,   0.3650
Y1400  ,¯¼ÅÖ         ,19900119,  592.90,  614.45,  592.90,  614.45,   245908,    20540000,   3.6347,   3.1518,      671189,   3.5702
Y1400  ,¯¼ÅÖ         ,19900122,  614.45,  648.86,  614.45,  648.86,   214943,    20443000,   5.6001,   2.7549,      708783,   5.4489
Y1400  ,¯¼ÅÖ         ,19900123,  648.86,  648.86,  648.52,  648.52,   313429,    24933000,  -0.0524,   4.0172,      708410,  -0.0524
Y1400  ,¯¼ÅÖ         ,19900131,  648.52,  648.52,  643.68,  643.68,   208128,    17054000,  -0.7463,   2.6676,      703121,  -0.7491
Y1400  ,¯¼ÅÖ         ,19900201,  643.68,  657.00,  643.68,  657.00,   216500,    18477000,   2.0694,   2.7749,      717674,   2.0482
Y1400  ,¯¼ÅÖ         ,19900202,  657.00,  678.73,  657.00,  678.73,   344913,    28663000,   3.3075,   4.4207,      741409,   3.2539
Y1400  ,¯¼ÅÖ         ,19900203,  678.73,  678.73,  653.14,  653.14,   224817,    18615000,  -3.7703,   2.8815,      713458,  -3.8432
Y1400  ,¯¼ÅÖ         ,19900205,  653.14,  665.35,  653.14,  665.35,   221443,    20079000,   1.8694,   2.8382,      726789,   1.8522
Y1400  ,¯¼ÅÖ         ,19900206,  665.35,  673.48,  665.35,  673.48,   234196,    23251000,   1.2219,   3.0017,      735670,   1.2145
Y1400  ,¯¼ÅÖ         ,19900207,  673.48,  673.48,  662.05,  662.05,   227007,    23099000,  -1.6972,   2.9095,      723191,  -1.7117
Y1400  ,¯¼ÅÖ         ,19900208,  662.05,  662.05,  656.15,  656.15,   160818,    16927000,  -0.8912,   2.0612,      716738,  -0.8952
Y1400  ,¯¼ÅÖ         ,19900209,  656.15,  686.60,  656.15,  686.60,   230117,    24245000,   4.6407,   2.9494,      750005,   4.5362
Y1400  ,¯¼ÅÖ         ,19900210,  686.60,  697.32,  686.60,  697.32,   283038,    27383000,   1.5613,   3.6277,      761711,   1.5493
Y1400  ,¯¼ÅÖ         ,19900212,  697.32,  707.20,  697.32,  707.20,   360520,    37114000,   1.4169,   4.6208,      772510,   1.4069
Y1400  ,¯¼ÅÖ         ,19900213,  707.20,  707.20,  682.77,  682.77,   251361,    26594000,  -3.4545,   3.2217,      745824,  -3.5155
Y1400  ,¯¼ÅÖ         ,19900214,  682.77,  682.77,  680.68,  680.68,   206833,    20988000,  -0.3061,   2.6510,      743539,  -0.3066
Y1400  ,¯¼ÅÖ         ,19900215,  680.68,  680.68,  677.51,  677.51,   227637,    24675000,  -0.4657,   2.9176,      740075,  -0.4668
Y1400  ,¯¼ÅÖ         ,19900216,  677.51,  677.51,  662.41,  662.41,   257790,    23020000,  -2.2287,   3.3041,      723583,  -2.2540
Y1400  ,¯¼ÅÖ         ,19900217,  662.41,  669.69,  662.41,  669.69,   183368,    18078000,   1.0990,   2.3426,      732929,   1.0930
Y1400  ,¯¼ÅÖ         ,19900219,  669.69,  678.44,  669.69,  678.44,   324549,    27262000,   1.3066,   4.1462,      742500,   1.2981
Y1400  ,¯¼ÅÖ         ,19900220,  678.44,  708.34,  678.44,  708.34,   409554,    35084000,   4.4072,   5.2321,      775227,   4.3128
Y1400  ,¯¼ÅÖ         ,19900221,  708.34,  708.34,  699.18,  699.18,   590970,    50913000,  -1.2932,   7.5497,      765199,  -1.3016
Y1400  ,¯¼ÅÖ         ,19900222,  699.18,  699.18,  689.92,  689.92,   418008,    34485000,  -1.3244,   5.3079,      755364,  -1.3333
Y1400  ,¯¼ÅÖ         ,19900223,  689.92,  698.62,  689.92,  698.62,   237992,    21365000,   1.2610,   3.0220,      764895,   1.2531
Y1400  ,¯¼ÅÖ         ,19900224,  698.62,  698.62,  682.96,  682.96,   186512,    16717000,  -2.2416,   2.3683,      747746,  -2.2671
Y1400  ,¯¼ÅÖ         ,19900226,  698.62,  698.62,  645.27,  645.27,   230341,    19211000,  -5.5186,   2.9249,      706476,  -5.6767
Y1400  ,¯¼ÅÖ         ,19900227,  645.27,  669.29,  645.27,  669.29,   251116,    22846000,   3.7225,   3.1887,      732779,   3.6549
Y1400  ,¯¼ÅÖ         ,19900228,  669.29,  683.16,  669.29,  683.16,   259431,    23421000,   2.0723,   3.2943,      747966,   2.0512
Y1400  ,¯¼ÅÖ         ,19900301,  683.16,  683.16,  661.15,  661.15,   228271,    21697000,  -3.2218,   2.8986,      723863,  -3.2748
Y1400  ,¯¼ÅÖ         ,19900302,  661.15,  663.06,  661.15,  663.06,   169057,    15458000,   0.2889,   2.1467,      725960,   0.2885
Y1400  ,¯¼ÅÖ         ,19900303,  663.06,  663.06,  649.16,  649.16,   160731,    14303000,  -2.0963,   2.0410,      710738,  -2.1186
Y1400  ,¯¼ÅÖ         ,19900305,  649.16,  649.16,  623.17,  623.17,   167552,    13799000,  -4.0036,   2.1215,      682288,  -4.0860
Y1400  ,¯¼ÅÖ         ,19900306,  623.17,  655.58,  623.17,  655.58,   176608,    14608000,   5.2008,   2.2362,      717763,   5.0701
Y1400  ,¯¼ÅÖ         ,19900307,  655.58,  655.58,  649.86,  649.86,   234479,    18447000,  -0.8725,   2.9690,      711501,  -0.8763
Y1400  ,¯¼ÅÖ         ,19900308,  649.86,  649.86,  649.63,  649.63,   126164,    10740000,  -0.0354,   1.5975,      711257,  -0.0354
Y1400  ,¯¼ÅÖ         ,19900309,  649.63,  655.20,  649.63,  655.20,   228731,    17053000,   0.8574,   2.8962,      717352,   0.8538
Y1400  ,¯¼ÅÖ         ,19900310,  655.20,  689.99,  655.20,  689.99,   306532,    27150000,   5.3098,   3.8813,      755441,   5.1737
Y1400  ,¯¼ÅÖ         ,19900312,  689.99,  689.99,  686.39,  686.39,   299749,    28232000,  -0.5217,   3.7954,      751496,  -0.5231
