symbol,abbreviation,year_month_day,open_price,high_price,low_price,close_price,volume_1000_shares,value_1000_dollars,simple_roi_%,turnover_ratio_%,market_value_million_dollars,continuous_roi_%
2201,¸Î¶©         ,20000104,22.9,23,22.4,22.6,2989,67725,-0.8772,0.1908,35404,-0.8811
2201,¸Î¶©         ,20000105,22.4,23.5,22.4,23.4,6682,154292,3.5398,0.4265,36657,3.4786
2201,¸Î¶©         ,20000106,23.6,25,23.6,25,8326,204923,6.8376,0.5315,39164,6.614
2201,¸Î¶©         ,20000107,26,26.7,25.6,26.7,14464,377029,6.8,0.9233,41827,6.5788
2201,¸Î¶©         ,20000110,27.5,27.5,26.2,26.5,10405,280180,-0.7491,0.6642,41514,-0.7519
2201,¸Î¶©         ,20000111,26.8,27.1,25,25.5,5831,152957,-3.7736,0.3722,39947,-3.8466
2201,¸Î¶©         ,20000112,25.5,26,25.3,25.5,3511,90445,0,0.2241,39947,0
2201,¸Î¶©         ,20000113,25.6,26,24.7,24.8,7549,189822,-2.7451,0.4819,38851,-2.7835
2201,¸Î¶©         ,20000114,25.2,25.5,24.8,24.8,4812,120751,0,0.3072,38851,0
2201,¸Î¶©         ,20000115,25.1,25.3,24.8,25,3752,93905,0.8065,0.2395,39164,0.8032
2201,¸Î¶©         ,20000117,25.4,26.3,25.2,26.1,7097,183271,4.4,0.453,40887,4.3059
2201,¸Î¶©         ,20000118,26.4,27,26,26.2,8403,222811,0.3831,0.5364,41044,0.3824
2201,¸Î¶©         ,20000119,26.5,27.4,26.5,26.8,10297,277159,2.2901,0.6573,41984,2.2642
2201,¸Î¶©         ,20000120,27.3,27.3,26,26.1,5410,143743,-2.6119,0.3453,40887,-2.6467
2201,¸Î¶©         ,20000121,26.2,26.3,25.6,26,3684,95455,-0.3831,0.2352,40730,-0.3839
2201,¸Î¶©         ,20000124,26.1,26.3,25.6,26.3,5214,135695,1.1538,0.3328,41200,1.1472
2201,¸Î¶©         ,20000125,26.5,27.4,26.3,26.7,9361,251735,1.5209,0.5975,41827,1.5095
2201,¸Î¶©         ,20000126,27,27.1,26,26.5,7247,191108,-0.7491,0.4626,41514,-0.7519
2201,¸Î¶©         ,20000127,26.6,27.4,26.6,26.9,9170,247314,1.5094,0.5854,42140,1.4982
2201,¸Î¶©         ,20000128,27.2,28.7,27.2,28.7,18533,519560,6.6914,1.183,44960,6.4771
2201,¸Î¶©         ,20000129,28.7,30.3,28,28.4,24833,724860,-1.0453,1.5852,44490,-1.0508
2201,¸Î¶©         ,20000131,28.6,28.7,27.7,28,6855,193140,-1.4085,0.4376,43864,-1.4185
2201,¸Î¶©         ,20000201,28.2,28.6,27.8,28,9152,257472,0,0.5842,43864,0
2201,¸Î¶©         ,20000209,28.5,28.5,27,27.5,8772,241915,-1.7857,0.5599,43080,-1.8019
2201,¸Î¶©         ,20000210,27.6,28.7,27.6,28.5,10509,296512,3.6364,0.6708,44647,3.5718
2201,¸Î¶©         ,20000211,29,29.6,28,28,15767,458318,-1.7544,1.0065,43864,-1.77
2201,¸Î¶©         ,20000214,28.4,28.8,28.1,28.2,6992,198448,0.7143,0.4463,44177,0.7117
2201,¸Î¶©         ,20000215,28.5,30.1,28.5,30.1,21542,633674,6.7376,1.3751,47153,6.5203
2201,¸Î¶©         ,20000216,30.8,30.9,29.5,30.3,24040,730531,0.6645,1.5346,47467,0.6623
2201,¸Î¶©         ,20000217,30.1,31.2,30,30.3,17470,534593,0,1.1152,47467,0
2201,¸Î¶©         ,20000218,30.9,31.4,30,30.1,13508,414183,-0.6601,0.8623,47153,-0.6623
2201,¸Î¶©         ,20000219,29.5,30.6,29.2,30.3,11942,357107,0.6645,0.7623,47467,0.6623
2201,¸Î¶©         ,20000221,30.8,31.4,30,30.3,15909,488871,0,1.0155,47467,0
2201,¸Î¶©         ,20000222,30.5,30.9,28.4,28.6,7356,216421,-5.6106,0.4696,44804,-5.7741
2201,¸Î¶©         ,20000223,28.9,29.2,28.2,28.5,4546,130370,-0.3497,0.2902,44647,-0.3503
2201,¸Î¶©         ,20000224,28.6,28.9,27.5,27.5,4571,128303,-3.5088,0.2918,43080,-3.5718
2201,¸Î¶©         ,20000225,27.5,27.6,26,26.2,5595,150110,-4.7273,0.3571,41044,-4.8427
2201,¸Î¶©         ,20000229,26.5,26.8,26,26,2559,67130,-0.7634,0.1633,40730,-0.7663
2201,¸Î¶©         ,20000301,26.5,26.7,26.1,26.6,4144,109630,2.3077,0.2645,41670,2.2815
2201,¸Î¶©         ,20000302,27,27,26.2,26.2,2827,75416,-1.5038,0.1805,41044,-1.5152
2201,¸Î¶©         ,20000303,26.5,26.6,26.1,26.1,2195,57828,-0.3817,0.1401,40887,-0.3824
2201,¸Î¶©         ,20000304,26.5,26.7,26.1,26.2,2497,65913,0.3831,0.1594,41044,0.3824
2201,¸Î¶©         ,20000306,26.2,26.6,25.5,25.7,2933,76221,-1.9084,0.1872,40261,-1.9268
2201,¸Î¶©         ,20000307,25.7,25.8,25.3,25.4,2712,69160,-1.1673,0.1731,39791,-1.1742
2201,¸Î¶©         ,20000308,25.7,25.7,25.1,25.3,2424,61306,-0.3937,0.1547,39634,-0.3945
2201,¸Î¶©         ,20000309,25.6,26.3,25.5,25.9,3277,84788,2.3715,0.2092,40574,2.3439
2201,¸Î¶©         ,20000310,26,26.3,25,25,2553,65121,-3.4749,0.163,39164,-3.5367
2201,¸Î¶©         ,20000313,24.8,25,23.3,23.3,3977,93776,-6.8,0.2539,36501,-7.0422
2201,¸Î¶©         ,20000314,22.7,23.3,22.5,23,3550,81742,-1.2876,0.2266,36031,-1.2959
2201,¸Î¶©         ,20000315,23,23.3,22.5,22.5,4108,93539,-2.1739,0.2622,35247,-2.1979
2201,¸Î¶©         ,20000316,21.8,22.9,21.8,22.9,2838,63054,1.7778,0.1812,35874,1.7622
2201,¸Î¶©         ,20000317,22.7,24.5,22.5,23.7,11008,264354,3.4934,0.7027,37127,3.4338
2201,¸Î¶©         ,20000320,22.9,25.3,22.9,25.3,12707,302904,6.7511,0.8111,39634,6.5329
2201,¸Î¶©         ,20000321,25.1,26,24.8,25.6,6604,168230,1.1858,0.4216,40104,1.1788
2201,¸Î¶©         ,20000322,25.3,25.8,24.8,24.8,3810,95230,-3.125,0.2432,38851,-3.1749
2201,¸Î¶©         ,20000323,24.6,25.6,24.6,25.2,5433,137609,1.6129,0.3468,39477,1.6
2201,¸Î¶©         ,20000324,25.2,25.2,24.4,24.4,2638,65120,-3.1746,0.1684,38224,-3.2261
2201,¸Î¶©         ,20000327,24.5,25.5,24.5,24.8,3841,95914,1.6393,0.2452,38851,1.6261
2201,¸Î¶©         ,20000328,24.8,25.3,24.6,24.7,2850,71007,-0.4032,0.1819,38694,-0.404
2201,¸Î¶©         ,20000329,24.7,25,24.2,24.2,2162,53234,-2.0243,0.138,37911,-2.0451
2201,¸Î¶©         ,20000330,24.8,24.8,24.4,24.7,3229,79474,2.0661,0.2061,38694,2.0451
2201,¸Î¶©         ,20000331,24.7,25,24.2,24.7,1992,48874,0,0.1272,38694,0
2201,¸Î¶©         ,20000401,24.6,24.7,24,24.3,2080,50463,-1.6194,0.1328,38067,-1.6327
2201,¸Î¶©         ,20000405,24.2,24.7,24,24.3,4552,110069,0,0.2906,38067,0
2201,¸Î¶©         ,20000406,24.4,25.4,24.4,24.6,9195,229565,1.2346,0.5869,38537,1.227
2201,¸Î¶©         ,20000407,25.1,25.2,24.2,24.2,3710,91876,-1.626,0.2368,37911,-1.6394
2201,¸Î¶©         ,20000408,24.4,24.5,23.8,23.8,2717,65256,-1.6529,0.1734,37284,-1.6667
2201,¸Î¶©         ,20000410,23.8,24.2,23.5,24,2944,70141,0.8403,0.1879,37597,0.8368
2201,¸Î¶©         ,20000411,24,24.6,24,24.3,3044,73858,1.25,0.1943,38067,1.2423
2201,¸Î¶©         ,20000412,25,26,25,25.6,10171,262094,5.3498,0.6493,40104,5.2116
2201,¸Î¶©         ,20000413,25.4,25.4,24.3,24.6,6119,151980,-3.9063,0.3906,38537,-3.9846
2201,¸Î¶©         ,20000414,24.6,24.8,24,24.1,3095,75528,-2.0325,0.1976,37754,-2.0535
2201,¸Î¶©         ,20000415,23.1,23.5,22.6,22.8,4361,100129,-5.3942,0.2784,35717,-5.5451
2201,¸Î¶©         ,20000417,22.8,23.6,22.5,23,2868,65875,0.8772,0.1831,36031,0.8734
2201,¸Î¶©         ,20000418,23.8,23.9,23.2,23.6,3181,75163,2.6087,0.2031,36971,2.5752
2201,¸Î¶©         ,20000419,24,24.1,23.1,23.2,1390,32743,-1.6949,0.0887,36344,-1.7094
2201,¸Î¶©         ,20000420,23.3,23.4,23,23.2,1753,40521,0,0.1119,36344,0
2201,¸Î¶©         ,20000421,23.4,23.7,23.2,23.3,1643,38494,0.431,0.1049,36501,0.4301
2201,¸Î¶©         ,20000424,22.8,23.6,22.2,22.2,1873,42678,-4.721,0.1196,34777,-4.8361
2201,¸Î¶©         ,20000425,22.5,22.7,22,22.5,1697,38019,1.3514,0.1083,35247,1.3423
2201,¸Î¶©         ,20000426,22.5,22.9,21,21.1,2439,53267,-6.2222,0.1557,33054,-6.4242
