證券代碼,簡稱,年月日,開盤價,最高價,最低價,收盤價,成交量,成交值,報酬率,週轉率,市值,報酬率-Ln
Y1300  ,塑膠化工     ,19900104,  430.10,  449.93,  430.10,  449.93,   146433,    14976000,   4.6106,   2.4164,      585322,   4.5074
Y1300  ,塑膠化工     ,19900105,  449.93,  450.46,  449.93,  450.46,   153846,    15742000,   0.1178,   2.5387,      586009,   0.1177
Y1300  ,塑膠化工     ,19900106,  450.46,  450.46,  448.72,  448.72,    93610,     9806000,  -0.3863,   1.5447,      583737,  -0.3870
Y1300  ,塑膠化工     ,19900108,  448.72,  450.74,  448.72,  450.74,   119475,    12958000,   0.4502,   1.9715,      586369,   0.4492
Y1300  ,塑膠化工     ,19900109,  450.74,  450.74,  431.61,  431.61,   105946,    11016000,  -4.2441,   1.7483,      561486,  -4.3368
Y1300  ,塑膠化工     ,19900110,  431.61,  435.45,  431.61,  435.45,   101784,    10825000,   0.8897,   1.6796,      566479,   0.8858
Y1300  ,塑膠化工     ,19900111,  435.45,  438.84,  435.45,  438.84,   112220,    11692000,   0.7785,   1.8518,      570891,   0.7755
Y1300  ,塑膠化工     ,19900112,  438.84,  448.59,  438.84,  448.59,   146092,    15079000,   2.2218,   2.4107,      583576,   2.1974
Y1300  ,塑膠化工     ,19900113,  448.59,  454.78,  448.59,  454.78,   177212,    17680000,   1.3799,   2.9243,      591633,   1.3704
Y1300  ,塑膠化工     ,19900115,  454.78,  457.78,  454.78,  457.78,   139469,    15335000,   0.6597,   2.3014,      595525,   0.6575
Y1300  ,塑膠化工     ,19900116,  457.78,  462.54,  457.78,  462.54,   150721,    15612000,   1.0398,   2.4871,      601724,   1.0344
Y1300  ,塑膠化工     ,19900117,  462.54,  462.54,  459.30,  459.30,   117137,    11794000,  -0.7005,   1.9329,      597508,  -0.7029
Y1300  ,塑膠化工     ,19900118,  459.30,  465.49,  459.30,  465.49,   125274,    13141000,   1.3477,   2.0656,      605554,   1.3387
Y1300  ,塑膠化工     ,19900119,  465.49,  485.14,  465.49,  485.14,   212454,    21788000,   4.2214,   3.5031,      631123,   4.1347
Y1300  ,塑膠化工     ,19900122,  485.14,  512.90,  485.14,  512.90,   115543,    13318000,   5.7221,   1.9052,      667235,   5.5643
Y1300  ,塑膠化工     ,19900123,  512.90,  532.97,  512.90,  532.97,   291558,    33339000,   3.9130,   4.8074,      693346,   3.8384
Y1300  ,塑膠化工     ,19900131,  532.97,  536.80,  532.97,  536.80,   197649,    22356000,   0.7186,   3.2590,      698327,   0.7160
