Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,9.204471,9.512656,9.204471,9.492110,7.748323,6985600
1990-01-03,9.492110,9.574293,9.461292,9.512656,7.765098,8079500
1990-01-04,9.512656,9.605112,9.409927,9.502383,7.756712,7724200
1990-01-05,9.502383,9.594839,9.492110,9.533202,7.781869,3963100
1990-01-08,9.533202,9.677022,9.522929,9.605112,7.848687,6649800
1990-01-09,9.605112,9.656476,9.564020,9.594839,7.840291,5075200
1990-01-10,9.543475,9.543475,9.173653,9.286654,7.588465,11018100
1990-01-11,9.286654,9.471564,9.286654,9.286654,7.588465,5486500
1990-01-12,9.204471,9.204471,8.978468,9.019560,7.370208,10281900
1990-01-15,9.019560,9.101743,8.886012,9.029832,7.378604,5807700
1990-01-16,9.029832,9.194198,8.875740,9.194198,7.512913,9141800
1990-01-17,9.194198,9.358563,9.040105,9.050378,7.395393,8748700
1990-01-18,9.050378,9.081197,8.947650,9.019560,7.370208,6051100
1990-01-19,9.019560,9.132561,8.978468,8.999014,7.353420,7444300
1990-01-22,8.999014,9.040105,8.690828,8.711374,7.118381,7428500
1990-01-23,8.711374,8.834648,8.392916,8.618918,7.042830,13064700
1990-01-24,8.618918,8.731920,8.423735,8.670282,7.084803,9139300
1990-01-25,8.670282,8.814102,8.588099,8.588099,7.017649,6921100
1990-01-26,8.588099,8.680555,8.423735,8.567554,7.000861,6188600
1990-01-29,8.588099,8.752465,8.588099,8.701101,7.109986,5670200
1990-01-30,8.701101,8.701101,8.475099,8.629191,7.051227,5945200
1990-01-31,8.629191,8.701101,8.341552,8.557281,6.992465,9351100
1990-02-01,8.557281,8.618918,8.341552,8.362098,6.832973,7420000
1990-02-02,8.362098,8.639464,8.362098,8.608645,7.034437,9482500
1990-02-05,8.670282,8.865467,8.670282,8.865467,7.244296,6048700
1990-02-06,8.865467,8.999014,8.731920,8.844921,7.227508,6422200
1990-02-07,8.844921,8.978468,8.742192,8.957922,7.319844,6094900
1990-02-08,8.957922,9.070924,8.927104,8.957922,7.319844,5675100
1990-02-09,8.957922,9.060651,8.916831,8.916831,7.286268,3902200
1990-02-12,8.916831,8.916831,8.773011,8.803830,7.193932,2535800
1990-02-13,8.803830,8.875740,8.731920,8.844921,7.227508,4881800
1990-02-14,8.844921,8.978468,8.814102,8.968195,7.328238,3560300
1990-02-15,8.968195,9.081197,8.937377,9.060651,7.403787,4055500
1990-02-16,9.060651,9.101743,8.999014,9.019560,7.370208,3719700
1990-02-20,8.937377,8.937377,8.783284,8.855194,7.235901,5072800
1990-02-21,8.834648,8.834648,8.742192,8.783284,7.177142,5170100
1990-02-22,8.783284,8.906558,8.742192,8.742192,7.143564,4214900
1990-02-23,8.742192,8.752465,8.608645,8.608645,7.034437,5029000
1990-02-26,8.608645,8.824375,8.588099,8.824375,7.210717,4755200
1990-02-27,8.824375,8.937377,8.814102,8.927104,7.294662,5534000
1990-02-28,8.927104,9.040105,8.916831,8.999014,7.353420,5789500
1990-03-01,8.999014,9.029832,8.886012,8.886012,7.261083,4043400
1990-03-02,8.886012,9.019560,8.875740,8.968195,7.328238,4441300
1990-03-05,8.968195,9.101743,8.968195,9.091470,7.428968,4771000
1990-03-06,9.101743,9.235290,9.101743,9.214744,7.529703,6357700
1990-03-07,9.214744,9.296926,9.112015,9.194198,7.512913,4865900
1990-03-08,9.194198,9.245563,9.163380,9.245563,7.554884,2793700
1990-03-09,9.245563,9.245563,9.081197,9.112015,7.445757,2948300
1990-03-12,9.112015,9.225017,9.060651,9.204471,7.521308,2792500
1990-03-13,9.204471,9.368836,9.183925,9.317472,7.613646,4710200
1990-03-14,9.348290,9.502383,9.348290,9.481837,7.747952,5796800
1990-03-15,9.481837,9.564020,9.409927,9.451019,7.722769,3784200
1990-03-16,9.481837,9.574293,9.481837,9.533202,7.789924,6371100
1990-03-19,9.502383,9.502383,9.430473,9.502383,7.764743,5049700
1990-03-20,9.502383,9.615385,9.471564,9.522929,7.781532,6840800
1990-03-21,9.522929,9.564020,9.430473,9.440746,7.714378,4446100
1990-03-22,9.409927,9.409927,9.091470,9.194198,7.512913,9146600
1990-03-23,9.245563,9.409927,9.245563,9.389382,7.672406,5076400
1990-03-26,9.389382,9.471564,9.266108,9.276381,7.580065,3649100
1990-03-27,9.276381,9.389382,9.255835,9.368836,7.655617,3898600
1990-03-28,9.338017,9.338017,9.204471,9.317472,7.613646,9596900
1990-03-29,9.286654,9.286654,9.173653,9.204471,7.521308,2426200
1990-03-30,9.204471,9.225017,9.070924,9.132561,7.462549,3898600
1990-04-02,9.132561,9.142834,8.978468,9.132561,7.462549,5164000
1990-04-03,9.163380,9.368836,9.163380,9.348290,7.638831,7467500
1990-04-04,9.348290,9.420200,9.163380,9.204471,7.521308,6927200
1990-04-05,9.255835,9.399654,9.255835,9.389382,7.672406,6094900
1990-04-06,9.389382,9.389382,9.286654,9.358563,7.656943,4208900
1990-04-09,9.358563,9.440746,9.327744,9.348290,7.648536,10097000
1990-04-10,9.348290,9.368836,9.296926,9.368836,7.665349,2777900
1990-04-11,9.368836,9.522929,9.368836,9.451019,7.732586,4931600
1990-04-12,9.451019,9.502383,9.409927,9.420200,7.707373,3738000
1990-04-16,9.420200,9.502383,9.389382,9.389382,7.682158,4044600
1990-04-17,9.389382,9.430473,9.317472,9.389382,7.682158,5016800
1990-04-18,9.389382,9.389382,9.255835,9.255835,7.572893,6881000
1990-04-19,9.255835,9.307199,9.163380,9.183925,7.514058,4618900
1990-04-20,9.183925,9.266108,9.060651,9.204471,7.530870,6059600
1990-04-23,9.204471,9.204471,9.060651,9.132561,7.472034,5080100
1990-04-24,9.132561,9.183925,9.050378,9.060651,7.413198,6442900
1990-04-25,9.081197,9.153107,9.081197,9.142834,7.480439,2937300
1990-04-26,9.142834,9.235290,9.081197,9.101743,7.446818,6707000
1990-04-27,9.101743,9.112015,8.999014,9.009287,7.371174,4611600
1990-04-30,9.009287,9.112015,8.978468,9.081197,7.430009,4547100
1990-05-01,9.081197,9.153107,9.040105,9.091470,7.438413,4931600
1990-05-02,9.091470,9.153107,9.081197,9.142834,7.480439,2880100
1990-05-03,9.153107,9.214744,9.153107,9.194198,7.522462,4908500
1990-05-04,9.194198,9.266108,9.163380,9.266108,7.581301,3039500
1990-05-07,9.276381,9.348290,9.276381,9.307199,7.614920,3158800
1990-05-08,9.296926,9.296926,9.142834,9.235290,7.556085,4317200
1990-05-09,9.225017,9.225017,9.101743,9.122288,7.463628,3793900
1990-05-10,9.122288,9.153107,8.988741,8.988741,7.354364,4721100
1990-05-11,9.019560,9.266108,9.019560,9.214744,7.539273,7428500
1990-05-14,9.214744,9.348290,9.204471,9.255835,7.572893,6020700
1990-05-15,9.255835,9.317472,9.183925,9.276381,7.589703,4393800
1990-05-16,9.276381,9.317472,9.183925,9.255835,7.572893,3929000
1990-05-17,9.255835,9.307199,9.214744,9.245563,7.564486,4772200
1990-05-18,9.245563,9.461292,9.235290,9.451019,7.732586,8384900
1990-05-21,9.451019,9.605112,9.430473,9.553747,7.816638,11192100
1990-05-22,9.625657,9.820842,9.625657,9.820842,8.035168,9645500
1990-05-23,9.800296,9.800296,9.718113,9.759205,7.984736,4923100
1990-05-24,9.759205,9.800296,9.697567,9.779750,8.001550,3472700
1990-05-25,9.769477,9.769477,9.625657,9.666749,7.909093,2854600
1990-05-29,9.687295,9.861933,9.687295,9.841387,8.051979,5130000
1990-05-30,10.046844,10.334484,10.046844,10.334484,8.455417,15914500
1990-05-31,10.334484,10.673488,10.272847,10.601578,8.673947,11706800
1990-06-01,10.601578,10.724852,10.478304,10.560487,8.640326,10245400
1990-06-04,10.560487,10.622124,10.385848,10.539941,8.623517,6461200
1990-06-05,10.539941,10.786489,10.539941,10.786489,8.825238,9594400
1990-06-06,10.786489,10.909763,10.652942,10.694034,8.749592,8857000
1990-06-07,10.673488,10.673488,10.437212,10.539941,8.623517,4853800
1990-06-08,10.539941,10.539941,10.129027,10.139299,8.295720,8591800
1990-06-11,10.139299,10.416667,10.036572,10.406394,8.514251,6512300
1990-06-12,10.416667,10.745398,10.416667,10.683761,8.741185,9514100
1990-06-13,10.683761,10.817307,10.663215,10.663215,8.724378,7539200
1990-06-14,10.663215,10.673488,10.478304,10.601578,8.673947,4040900
1990-06-15,10.601578,10.899490,10.570760,10.827580,8.858857,12039000
1990-06-18,10.776217,10.776217,10.447485,10.447485,8.547873,8490800
1990-06-19,10.447485,10.663215,10.447485,10.652942,8.715971,7675500
1990-06-20,10.652942,10.724852,10.539941,10.601578,8.673947,4734500
1990-06-21,10.601578,10.858399,10.581032,10.807034,8.842045,5100800
1990-06-22,10.807034,10.858399,10.478304,10.498850,8.589895,6851800
1990-06-25,10.498850,10.560487,10.283119,10.375575,8.489036,4940200
1990-06-26,10.375575,10.498850,10.221482,10.252301,8.388177,6080300
