Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,8.703625,8.796878,8.641457,8.796878,4.633279,1475000
1990-01-03,8.796878,8.921216,8.734710,8.827963,4.649653,1758500
1990-01-04,8.890131,9.107722,8.859047,9.107722,4.797001,1296000
1990-01-05,9.076637,9.232059,8.952300,9.232059,4.862490,1340700
1990-01-08,9.169890,9.325313,9.138806,9.232059,4.862490,860100
1990-01-09,9.232059,9.232059,8.952300,9.045553,4.764258,1187800
1990-01-10,8.983384,9.045553,8.890131,8.952300,4.715141,540400
1990-01-11,8.952300,8.983384,8.827963,8.890131,4.682396,1043100
1990-01-12,8.703625,8.765794,8.579288,8.734710,4.600537,693200
1990-01-15,8.672541,8.703625,8.610372,8.703625,4.584164,715300
1990-01-16,8.641457,8.890131,8.641457,8.890131,4.682396,1899600
1990-01-17,8.859047,8.859047,8.641457,8.703625,4.584164,1583900
1990-01-18,8.672541,8.890131,8.641457,8.859047,4.666024,1526800
1990-01-19,8.890131,8.890131,8.765794,8.796878,4.633279,1895600
1990-01-22,8.734710,8.827963,8.610372,8.610372,4.535047,1107400
1990-01-23,8.672541,8.734710,8.610372,8.641457,4.551422,1747600
1990-01-24,8.454950,8.548203,8.299528,8.454950,4.453188,979500
1990-01-25,8.517118,8.517118,8.081938,8.144106,4.289467,746700
1990-01-26,8.144106,8.454950,8.144106,8.454950,4.453188,740300
1990-01-29,8.454950,8.641457,8.423865,8.579288,4.518673,1207100
1990-01-30,8.610372,8.703625,8.548203,8.579288,4.518673,1476200
1990-01-31,8.517118,8.610372,8.454950,8.454950,4.453188,1438000
1990-02-01,8.517118,8.517118,8.454950,8.486034,4.469561,826700
1990-02-02,8.454950,8.486034,8.392781,8.423865,4.436818,1592000
1990-02-05,8.392781,8.579288,8.392781,8.486034,4.469561,1479000
1990-02-06,8.486034,8.579288,8.454950,8.579288,4.518673,1224800
1990-02-07,8.517118,8.765794,8.517118,8.765794,4.616905,1700600
1990-02-08,8.765794,8.952300,8.703625,8.765794,4.616905,1032600
1990-02-09,8.796878,8.859047,8.765794,8.827963,4.649653,796200
1990-02-12,8.765794,8.827963,8.703625,8.703625,4.584164,569800
1990-02-13,8.734710,8.827963,8.703625,8.796878,4.633279,726600
1990-02-14,8.765794,8.859047,8.765794,8.827963,4.649653,883400
1990-02-15,8.734710,8.890131,8.734710,8.859047,4.725927,583000
1990-02-16,8.827963,8.890131,8.703625,8.765794,4.676182,495400
1990-02-20,8.703625,8.703625,8.610372,8.610372,4.593268,955000
1990-02-21,8.454950,8.579288,8.423865,8.517118,4.543524,880600
1990-02-22,8.517118,8.579288,8.361697,8.423865,4.493777,2031100
1990-02-23,8.330612,8.517118,8.299528,8.423865,4.493777,748300
1990-02-26,8.423865,8.548203,8.423865,8.548203,4.560105,1003300
1990-02-27,8.548203,8.641457,8.486034,8.579288,4.576688,851300
1990-02-28,8.610372,8.859047,8.579288,8.734710,4.659601,847600
1990-03-01,8.734710,8.859047,8.703625,8.827963,4.709347,510300
1990-03-02,8.796878,8.952300,8.765794,8.890131,4.742509,720600
1990-03-05,8.952300,8.983384,8.827963,8.827963,4.709347,648200
1990-03-06,8.827963,8.921216,8.827963,8.921216,4.759094,640900
1990-03-07,8.859047,8.890131,8.796878,8.827963,4.709347,768800
1990-03-08,8.827963,9.014469,8.827963,8.983384,4.792253,1742400
1990-03-09,8.890131,8.983384,8.890131,8.952300,4.775673,1148800
1990-03-12,8.952300,8.952300,8.859047,8.890131,4.742509,805400
1990-03-13,8.859047,8.983384,8.765794,8.796878,4.692763,3075900
1990-03-14,8.796878,8.921216,8.796878,8.859047,4.725927,608000
1990-03-15,8.796878,8.890131,8.796878,8.859047,4.725927,747500
1990-03-16,8.921216,9.014469,8.859047,8.983384,4.792253,1163700
1990-03-19,8.952300,9.045553,8.890131,9.014469,4.808838,1091700
1990-03-20,8.983384,9.045553,8.827963,8.827963,4.709347,1416300
1990-03-21,8.827963,8.983384,8.827963,8.890131,4.742509,1646300
1990-03-22,8.859047,8.983384,8.796878,8.859047,4.725927,1244900
1990-03-23,8.859047,8.983384,8.859047,8.921216,4.759094,1023800
1990-03-26,8.983384,9.045553,8.921216,8.921216,4.759094,899900
1990-03-27,8.983384,9.076637,8.921216,9.076637,4.842003,1202300
1990-03-28,9.045553,9.169890,9.045553,9.107722,4.858585,1256600
1990-03-29,9.107722,9.232059,9.076637,9.200975,4.908332,1857800
1990-03-30,9.138806,9.200975,9.138806,9.200975,4.908332,1187400
1990-04-02,9.107722,9.138806,8.952300,8.983384,4.792253,893900
1990-04-03,9.014469,9.076637,8.952300,8.983384,4.792253,1491900
1990-04-04,8.952300,9.045553,8.952300,8.983384,4.792253,1098600
1990-04-05,8.983384,9.045553,8.859047,8.859047,4.725927,1120700
1990-04-06,8.827963,8.890131,8.765794,8.890131,4.742509,931700
1990-04-09,8.859047,9.014469,8.859047,8.952300,4.775673,568600
1990-04-10,8.952300,9.045553,8.890131,8.952300,4.775673,1037400
1990-04-11,8.952300,9.045553,8.859047,8.859047,4.725927,887100
1990-04-12,8.827963,8.983384,8.827963,8.890131,4.742509,959400
1990-04-16,8.890131,9.045553,8.890131,8.952300,4.775673,1138800
1990-04-17,8.952300,9.076637,8.921216,9.045553,4.825420,884600
1990-04-18,9.107722,9.138806,8.983384,8.983384,4.792253,884600
1990-04-19,8.952300,9.045553,8.921216,8.921216,4.759094,940100
1990-04-20,8.890131,9.014469,8.765794,8.827963,4.709347,1259400
1990-04-23,8.765794,8.827963,8.703625,8.734710,4.659601,731000
1990-04-24,8.734710,8.796878,8.703625,8.703625,4.643018,719800
1990-04-25,8.703625,8.765794,8.610372,8.641457,4.609852,474900
1990-04-26,8.734710,8.765794,8.641457,8.703625,4.643018,624500
1990-04-27,8.703625,8.703625,8.517118,8.548203,4.560105,558100
1990-04-30,8.672541,8.765794,8.641457,8.734710,4.659601,1335000
1990-05-01,8.734710,8.765794,8.641457,8.703625,4.643018,851700
1990-05-02,8.672541,8.765794,8.672541,8.765794,4.676182,530000
1990-05-03,8.765794,8.796878,8.734710,8.796878,4.692763,1304900
1990-05-04,8.796878,8.827963,8.765794,8.827963,4.709347,958600
1990-05-07,8.827963,8.921216,8.765794,8.796878,4.692763,1074400
1990-05-08,8.796878,8.921216,8.765794,8.890131,4.742509,1464500
1990-05-09,8.890131,8.921216,8.827963,8.890131,4.742509,1741600
1990-05-10,8.890131,8.952300,8.827963,8.921216,4.759094,1790200
1990-05-11,8.921216,9.045553,8.859047,9.045553,4.825420,2886000
1990-05-14,8.952300,9.076637,8.952300,8.983384,4.852281,2383800
1990-05-15,8.983384,9.263144,8.921216,9.263144,5.003392,2796000
1990-05-16,9.294229,9.294229,9.138806,9.169890,4.953024,1523600
1990-05-17,9.138806,9.263144,9.107722,9.263144,5.003392,940500
1990-05-18,9.169890,9.169890,8.983384,9.014469,4.869072,1205900
1990-05-21,8.983384,9.045553,8.952300,9.014469,4.869072,1168900
1990-05-22,8.983384,9.014469,8.796878,8.921216,4.818706,1865400
1990-05-23,8.921216,8.952300,8.796878,8.859047,4.785124,1413800
1990-05-24,8.859047,8.859047,8.703625,8.765794,4.734752,475300
1990-05-25,8.703625,8.734710,8.610372,8.610372,4.650805,643800
