Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,8.625000,8.687500,8.562500,8.625000,4.130272,643200
1990-01-03,8.562500,8.562500,8.281250,8.281250,3.965661,318800
1990-01-04,8.093750,8.156250,8.031250,8.062500,3.860906,254000
1990-01-05,8.000000,8.125000,7.968750,8.125000,3.890838,185600
1990-01-08,8.062500,8.312500,8.031250,8.312500,3.980626,178400
1990-01-09,8.312500,8.312500,8.125000,8.125000,3.890838,240800
1990-01-10,8.125000,8.156250,8.031250,8.156250,3.905803,73600
1990-01-11,8.218750,8.312500,8.218750,8.281250,3.965661,169600
1990-01-12,8.156250,8.156250,7.937500,7.937500,3.801049,89600
1990-01-15,7.750000,7.937500,7.750000,7.937500,3.801049,219600
1990-01-16,7.937500,8.062500,7.718750,7.750000,3.711259,342800
1990-01-17,7.750000,7.875000,7.687500,7.843750,3.756156,143200
1990-01-18,7.843750,8.093750,7.812500,8.093750,3.875873,198800
1990-01-19,8.156250,8.343750,8.156250,8.281250,3.965661,227200
1990-01-22,8.281250,8.281250,7.937500,7.937500,3.801049,81600
1990-01-23,7.968750,8.218750,7.812500,8.187500,3.920767,224800
1990-01-24,8.062500,8.125000,7.843750,8.125000,3.890838,134000
1990-01-25,8.125000,8.218750,8.125000,8.156250,3.905803,180400
1990-01-26,8.218750,8.343750,8.187500,8.312500,3.980626,222000
1990-01-29,8.343750,8.343750,8.000000,8.125000,3.890838,134400
1990-01-30,8.156250,8.156250,8.000000,8.093750,3.875873,48400
1990-01-31,8.125000,8.250000,8.125000,8.250000,3.950696,217200
1990-02-01,8.250000,8.250000,8.125000,8.218750,3.935732,82400
1990-02-02,8.375000,8.875000,8.375000,8.875000,4.249992,787200
1990-02-05,8.937500,9.093750,8.906250,9.062500,4.339781,389600
1990-02-06,9.062500,9.062500,8.937500,9.000000,4.309849,434400
1990-02-07,8.937500,9.218750,8.843750,9.218750,4.414602,408000
1990-02-08,9.250000,9.437500,9.250000,9.281250,4.444532,572400
1990-02-09,9.250000,9.375000,9.250000,9.250000,4.442733,185200
1990-02-12,9.250000,9.281250,9.125000,9.156250,4.397705,402000
1990-02-13,9.093750,9.187500,9.000000,9.031250,4.337667,136400
1990-02-14,9.031250,9.093750,8.937500,9.031250,4.337667,348800
1990-02-15,9.062500,9.312500,9.031250,9.312500,4.472751,769200
1990-02-16,9.375000,9.437500,9.312500,9.343750,4.487763,612400
1990-02-20,9.312500,9.312500,9.062500,9.156250,4.397705,219600
1990-02-21,9.093750,9.406250,9.062500,9.375000,4.502769,397600
1990-02-22,9.375000,9.406250,9.062500,9.062500,4.352677,299600
1990-02-23,9.031250,9.031250,8.625000,8.687500,4.172567,235200
1990-02-26,8.718750,8.906250,8.500000,8.843750,4.247612,144400
1990-02-27,8.906250,9.125000,8.906250,9.062500,4.352677,294000
1990-02-28,9.093750,9.218750,8.937500,9.000000,4.322660,207600
1990-03-01,8.937500,9.093750,8.937500,9.000000,4.322660,171600
1990-03-02,9.000000,9.093750,8.937500,9.031250,4.337667,97600
1990-03-05,9.062500,9.156250,9.031250,9.156250,4.397705,363600
1990-03-06,9.093750,9.312500,9.093750,9.312500,4.472751,115200
1990-03-07,9.343750,9.375000,9.312500,9.343750,4.487763,926800
1990-03-08,9.375000,9.406250,9.250000,9.281250,4.457743,198800
1990-03-09,9.218750,9.218750,9.093750,9.218750,4.427723,236800
1990-03-12,9.187500,9.218750,9.156250,9.156250,4.397705,322800
1990-03-13,9.218750,9.218750,9.156250,9.187500,4.412714,116400
1990-03-14,9.156250,9.187500,9.062500,9.093750,4.367685,251600
1990-03-15,9.125000,9.156250,9.093750,9.125000,4.382693,128800
1990-03-16,9.187500,9.187500,9.093750,9.125000,4.382693,644800
1990-03-19,9.125000,9.125000,9.000000,9.062500,4.352677,132000
1990-03-20,9.031250,9.031250,8.625000,8.625000,4.142546,401200
1990-03-21,8.687500,8.875000,8.687500,8.812500,4.232600,169200
1990-03-22,8.750000,8.750000,8.406250,8.593750,4.127541,145600
