Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,4.828125,4.875000,4.796875,4.875000,2.672306,12128000
1990-01-03,4.867188,4.867188,4.789063,4.804688,2.633765,12976000
1990-01-04,4.804688,4.812500,4.718750,4.781250,2.620915,7841600
1990-01-05,4.781250,4.828125,4.734375,4.742188,2.599503,8305600
1990-01-08,4.742188,4.843750,4.726563,4.843750,2.655176,10064000
1990-01-09,4.843750,4.859375,4.781250,4.804688,2.633765,7419200
1990-01-10,4.804688,4.812500,4.726563,4.773438,2.616634,8865600
1990-01-11,4.773438,4.820313,4.757813,4.773438,2.616634,6083200
1990-01-12,4.718750,4.718750,4.593750,4.601563,2.522419,11931200
1990-01-15,4.601563,4.609375,4.523438,4.523438,2.479592,7740800
1990-01-16,4.523438,4.562500,4.453125,4.562500,2.501004,15332800
1990-01-17,4.562500,4.570313,4.507813,4.531250,2.483875,9076800
1990-01-18,4.531250,4.539063,4.468750,4.507813,2.471027,13576000
1990-01-19,4.515625,4.554688,4.515625,4.539063,2.488157,10728000
1990-01-22,4.539063,4.554688,4.406250,4.406250,2.415354,9236800
1990-01-23,4.406250,4.468750,4.351563,4.437500,2.432485,10224000
1990-01-24,4.429688,4.429688,4.289063,4.414063,2.419637,15361600
1990-01-25,4.414063,4.429688,4.257813,4.296875,2.355399,11276800
1990-01-26,4.296875,4.320313,4.140625,4.218750,2.312573,10267200
1990-01-29,4.218750,4.281250,4.171875,4.265625,2.338268,6878400
1990-01-30,4.250000,4.250000,4.078125,4.140625,2.269748,17204800
1990-01-31,4.171875,4.304688,4.171875,4.304688,2.359682,12382400
1990-02-01,4.304688,4.343750,4.289063,4.296875,2.355399,8548800
1990-02-02,4.296875,4.398438,4.289063,4.335938,2.376812,9054400
1990-02-05,4.335938,4.351563,4.296875,4.320313,2.368247,5838400
1990-02-06,4.320313,4.328125,4.281250,4.296875,2.355399,6806400
1990-02-07,4.296875,4.375000,4.242188,4.343750,2.381095,10907200
1990-02-08,4.343750,4.390625,4.304688,4.335938,2.376812,8243200
