Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,2.901042,2.958333,2.880208,2.958333,1.343415,9033600
1990-01-03,2.968750,2.973958,2.942708,2.968750,1.348146,9784800
1990-01-04,2.979167,3.020833,2.979167,3.015625,1.369432,17803200
1990-01-05,2.984375,3.015625,2.979167,2.989583,1.357607,11899200
1990-01-08,2.984375,2.994792,2.942708,2.963542,1.345781,7264800
1990-01-09,2.963542,2.968750,2.895833,2.901042,1.317399,10080000
1990-01-10,2.890625,2.958333,2.875000,2.953125,1.341051,11248800
1990-01-11,2.958333,2.973958,2.916667,2.921875,1.326859,7044000
1990-01-12,2.859375,2.911458,2.854167,2.869792,1.303209,9806400
1990-01-15,2.869792,2.885417,2.859375,2.864583,1.300843,11236800
1990-01-16,2.864583,2.911458,2.854167,2.895833,1.315033,7464000
1990-01-17,2.895833,2.916667,2.880208,2.895833,1.315033,7348800
1990-01-18,2.880208,2.947917,2.875000,2.942708,1.336320,13262400
1990-01-19,2.963542,2.973958,2.937500,2.937500,1.333955,10171200
1990-01-22,2.932292,2.942708,2.885417,2.890625,1.312668,7382400
1990-01-23,2.890625,2.895833,2.843750,2.854167,1.296113,10658400
1990-01-24,2.802083,2.890625,2.791667,2.880208,1.307938,9888000
1990-01-25,2.895833,2.901042,2.812500,2.838542,1.289016,9355200
1990-01-26,2.828125,2.838542,2.786458,2.822917,1.281921,6484800
1990-01-29,2.885417,2.890625,2.817708,2.854167,1.296113,9967200
1990-01-30,2.854167,2.864583,2.812500,2.822917,1.281921,7413600
1990-01-31,2.828125,2.875000,2.828125,2.854167,1.296113,10250400
1990-02-01,2.875000,2.895833,2.864583,2.875000,1.305573,7800000
1990-02-02,2.869792,2.916667,2.869792,2.890625,1.312668,14054400
1990-02-05,2.906250,2.911458,2.875000,2.885417,1.321734,9568800
1990-02-06,2.869792,2.880208,2.838542,2.848958,1.305034,13207200
1990-02-07,2.822917,2.859375,2.781250,2.822917,1.293105,20661600
1990-02-08,2.828125,2.859375,2.822917,2.843750,1.302649,13574400
1990-02-09,2.822917,2.822917,2.755208,2.791667,1.278790,35983200
1990-02-12,2.796875,2.817708,2.770833,2.807292,1.285948,16848000
1990-02-13,2.812500,2.822917,2.796875,2.817708,1.290719,15105600
1990-02-14,2.828125,2.843750,2.822917,2.833333,1.297877,8164800
1990-02-15,2.833333,2.848958,2.822917,2.838542,1.300262,9907200
1990-02-16,2.833333,2.838542,2.744792,2.765625,1.266861,22881600
1990-02-20,2.718750,2.729167,2.703125,2.708333,1.240618,27784800
1990-02-21,2.703125,2.723958,2.656250,2.656250,1.216759,25766400
1990-02-22,2.645833,2.645833,2.468750,2.468750,1.130870,83875200
1990-02-23,2.416667,2.421875,2.281250,2.343750,1.073611,94600800
1990-02-26,2.333333,2.411458,2.270833,2.333333,1.068840,93883200
1990-02-27,2.385417,2.479167,2.380208,2.463542,1.128485,48511200
1990-02-28,2.500000,2.505208,2.442708,2.458333,1.126099,45996000
1990-03-01,2.468750,2.515625,2.463542,2.494792,1.142799,26841600
1990-03-02,2.505208,2.578125,2.494792,2.572917,1.178586,23721600
1990-03-05,2.578125,2.578125,2.458333,2.473958,1.133257,32112000
1990-03-06,2.500000,2.541667,2.489583,2.541667,1.164271,22075200
1990-03-07,2.541667,2.557292,2.505208,2.531250,1.159500,16168800
1990-03-08,2.520833,2.567708,2.515625,2.557292,1.171429,13120800
1990-03-09,2.546875,2.572917,2.500000,2.510417,1.149956,9734400
1990-03-12,2.458333,2.536458,2.458333,2.536458,1.161886,11373600
1990-03-13,2.526042,2.526042,2.468750,2.468750,1.130870,8419200
1990-03-14,2.458333,2.463542,2.406250,2.447917,1.121327,14892000
1990-03-15,2.447917,2.505208,2.442708,2.473958,1.133257,12662400
1990-03-16,2.484375,2.489583,2.432292,2.437500,1.116555,22526400
1990-03-19,2.437500,2.510417,2.416667,2.505208,1.147571,15264000
1990-03-20,2.505208,2.526042,2.494792,2.520833,1.154728,12928800
1990-03-21,2.510417,2.536458,2.479167,2.479167,1.135642,10747200
1990-03-22,2.479167,2.500000,2.411458,2.432292,1.114170,13572000
1990-03-23,2.442708,2.468750,2.437500,2.453125,1.123713,12194400
1990-03-26,2.479167,2.484375,2.458333,2.458333,1.126099,11726400
1990-03-27,2.453125,2.510417,2.447917,2.505208,1.147571,11210400
1990-03-28,2.515625,2.572917,2.510417,2.552083,1.169043,14452800
1990-03-29,2.562500,2.578125,2.546875,2.572917,1.178586,12211200
1990-03-30,2.572917,2.572917,2.510417,2.526042,1.157114,10317600
1990-04-02,2.427083,2.473958,2.416667,2.458333,1.126099,26145600
1990-04-03,2.458333,2.468750,2.427083,2.432292,1.114170,22425600
1990-04-04,2.421875,2.442708,2.375000,2.375000,1.087926,32344800
1990-04-05,2.385417,2.395833,2.354167,2.354167,1.078382,21554400
1990-04-06,2.364583,2.406250,2.364583,2.395833,1.097469,17400000
1990-04-09,2.385417,2.427083,2.380208,2.427083,1.111784,17083200
1990-04-10,2.416667,2.427083,2.375000,2.406250,1.102241,15753600
1990-04-11,2.401042,2.442708,2.401042,2.416667,1.107012,15676800
1990-04-12,2.437500,2.458333,2.416667,2.453125,1.123713,9288000
1990-04-16,2.479167,2.494792,2.458333,2.463542,1.128485,9633600
1990-04-17,2.458333,2.458333,2.427083,2.447917,1.121327,9472800
1990-04-18,2.437500,2.494792,2.437500,2.453125,1.123713,17844000
1990-04-19,2.453125,2.479167,2.453125,2.463542,1.128485,10600800
1990-04-20,2.468750,2.473958,2.421875,2.427083,1.111784,9993600
1990-04-23,2.421875,2.421875,2.359375,2.364583,1.083155,11416800
1990-04-24,2.369792,2.395833,2.354167,2.380208,1.090312,10752000
1990-04-25,2.390625,2.395833,2.364583,2.385417,1.092698,5330400
1990-04-26,2.375000,2.437500,2.359375,2.437500,1.116555,13992000
1990-04-27,2.442708,2.447917,2.395833,2.406250,1.102241,9348000
1990-04-30,2.401042,2.401042,2.354167,2.364583,1.083155,14383200
1990-05-01,2.364583,2.385417,2.338542,2.364583,1.083155,12103200
1990-05-02,2.369792,2.395833,2.359375,2.390625,1.095084,8635200
1990-05-03,2.437500,2.437500,2.390625,2.411458,1.104627,8551200
1990-05-04,2.406250,2.411458,2.291667,2.375000,1.087926,55852800
1990-05-07,2.395833,2.401042,2.369792,2.385417,1.092698,19742400
1990-05-08,2.375000,2.385417,2.354167,2.385417,1.092698,10387200
1990-05-09,2.354167,2.380208,2.354167,2.364583,1.083155,10039200
1990-05-10,2.359375,2.395833,2.359375,2.385417,1.092698,16358400
1990-05-11,2.437500,2.526042,2.421875,2.526042,1.157114,27511200
1990-05-14,2.500000,2.541667,2.489583,2.520833,1.166271,16221600
1990-05-15,2.520833,2.520833,2.484375,2.500000,1.156632,9367200
1990-05-16,2.489583,2.520833,2.473958,2.500000,1.156632,7092000
1990-05-17,2.494792,2.515625,2.494792,2.505208,1.159042,8949600
1990-05-18,2.515625,2.515625,2.489583,2.505208,1.159042,6460800
1990-05-21,2.494792,2.578125,2.494792,2.567708,1.187958,14248800
1990-05-22,2.625000,2.625000,2.583333,2.614583,1.209645,16819200
1990-05-23,2.578125,2.645833,2.578125,2.635417,1.219283,17445600
1990-05-24,2.625000,2.635417,2.593750,2.630208,1.216873,7471200
1990-05-25,2.614583,2.625000,2.604167,2.604167,1.204825,5726400
1990-05-29,2.614583,2.635417,2.598958,2.630208,1.216873,5140800
1990-05-30,2.635417,2.656250,2.619792,2.651042,1.226512,11234400
1990-05-31,2.708333,2.760417,2.697917,2.744792,1.269886,36297600
1990-06-01,2.770833,2.776042,2.697917,2.708333,1.253018,23280000
1990-06-04,2.703125,2.708333,2.666667,2.682292,1.240970,13272000
1990-06-05,2.697917,2.713542,2.677083,2.687500,1.243379,12338400
1990-06-06,2.682292,2.723958,2.682292,2.682292,1.240970,9266400
1990-06-07,2.703125,2.708333,2.661458,2.671875,1.236151,9508800
1990-06-08,2.656250,2.697917,2.651042,2.666667,1.233741,17140800
1990-06-11,2.666667,2.692708,2.661458,2.687500,1.243379,7653600
1990-06-12,2.682292,2.734375,2.682292,2.723958,1.260247,12835200
1990-06-13,2.739583,2.750000,2.723958,2.723958,1.260247,13185600
1990-06-14,2.718750,2.755208,2.718750,2.734375,1.265067,6232800
1990-06-15,2.682292,2.739583,2.682292,2.734375,1.265067,13576800
1990-06-18,2.729167,2.744792,2.692708,2.692708,1.245790,11328000
1990-06-19,2.687500,2.718750,2.682292,2.703125,1.250609,6693600
1990-06-20,2.692708,2.708333,2.687500,2.697917,1.248199,5846400
1990-06-21,2.671875,2.692708,2.656250,2.687500,1.243379,12348000
1990-06-22,2.682292,2.729167,2.671875,2.677083,1.238560,12045600
1990-06-25,2.666667,2.682292,2.640625,2.645833,1.224103,5294400
1990-06-26,2.661458,2.661458,2.598958,2.598958,1.202416,9381600
1990-06-27,2.609375,2.651042,2.604167,2.640625,1.221693,15696000
1990-06-28,2.645833,2.677083,2.645833,2.671875,1.236151,8352000
1990-06-29,2.687500,2.697917,2.671875,2.671875,1.236151,8827200
1990-07-02,2.687500,2.692708,2.656250,2.687500,1.243379,9508800
1990-07-03,2.713542,2.718750,2.703125,2.713542,1.255428,6472800
1990-07-05,2.718750,2.718750,2.687500,2.703125,1.250609,5443200
1990-07-06,2.703125,2.755208,2.687500,2.744792,1.269886,10279200
1990-07-09,2.739583,2.817708,2.734375,2.796875,1.293983,18352800
1990-07-10,2.812500,2.848958,2.807292,2.822917,1.306031,17803200
1990-07-11,2.822917,2.890625,2.822917,2.885417,1.334947,13341600
1990-07-12,2.885417,2.937500,2.885417,2.911458,1.346995,21772800
1990-07-13,2.901042,2.916667,2.859375,2.864583,1.325308,15057600
1990-07-16,2.875000,2.880208,2.802083,2.833333,1.310850,14011200
1990-07-17,2.822917,2.911458,2.822917,2.885417,1.334947,17539200
1990-07-18,2.916667,3.015625,2.911458,2.968750,1.373500,31077600
1990-07-19,2.958333,3.026042,2.947917,3.010417,1.392778,15379200
