Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,6.765625,6.953125,6.718750,6.937500,3.761800,2886400
1990-01-03,6.921875,6.984375,6.843750,6.859375,3.719436,1931200
1990-01-04,6.812500,6.906250,6.796875,6.843750,3.710965,1510400
1990-01-05,6.812500,6.859375,6.781250,6.843750,3.710965,1352000
1990-01-08,6.828125,6.890625,6.796875,6.875000,3.727909,1341600
1990-01-09,6.859375,6.890625,6.781250,6.796875,3.685550,987200
1990-01-10,6.718750,6.796875,6.640625,6.765625,3.668604,1597600
1990-01-11,6.796875,6.812500,6.750000,6.750000,3.660131,1671200
1990-01-12,6.656250,6.687500,6.578125,6.578125,3.566932,1788800
1990-01-15,6.546875,6.562500,6.484375,6.531250,3.541516,2764800
1990-01-16,6.453125,6.515625,6.453125,6.515625,3.533044,3372000
1990-01-17,6.515625,6.562500,6.453125,6.500000,3.524570,2110400
1990-01-18,6.421875,6.515625,6.406250,6.453125,3.499153,3054400
1990-01-19,6.515625,6.609375,6.484375,6.593750,3.575404,3004000
1990-01-22,6.578125,6.609375,6.421875,6.437500,3.490683,2497600
1990-01-23,6.437500,6.500000,6.421875,6.468750,3.507627,1619200
1990-01-24,6.343750,6.437500,6.296875,6.437500,3.490683,4191200
1990-01-25,6.453125,6.484375,6.281250,6.312500,3.422900,2900800
1990-01-26,6.281250,6.328125,6.046875,6.250000,3.389012,2575200
1990-01-29,6.250000,6.265625,6.156250,6.265625,3.397483,2174400
1990-01-30,6.250000,6.281250,6.156250,6.250000,3.389012,2097600
1990-01-31,6.250000,6.281250,6.203125,6.234375,3.380537,2971200
1990-02-01,6.250000,6.281250,6.218750,6.281250,3.405957,2078400
1990-02-02,6.234375,6.281250,6.218750,6.250000,3.389012,1813600
1990-02-05,6.296875,6.390625,6.265625,6.343750,3.439844,1551200
1990-02-06,6.328125,6.328125,6.218750,6.234375,3.380537,1368800
1990-02-07,6.250000,6.250000,6.187500,6.234375,3.380537,2544800
1990-02-08,6.234375,6.281250,6.140625,6.187500,3.355120,2127200
1990-02-09,6.218750,6.281250,6.203125,6.265625,3.397483,2008800
1990-02-12,6.250000,6.281250,6.203125,6.250000,3.389012,773600
1990-02-13,6.265625,6.359375,6.265625,6.359375,3.448318,1825600
1990-02-14,6.359375,6.390625,6.343750,6.390625,3.465265,2372000
